---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
30.1%  609M  768K    0 | 239  4.05    27M    0 |   3  0.84     0     0     0 |   0     0 |  28M  223  4.19     0     0     0     0     0 
32.5%  609M  768K    0 | 233  4.12    27M    0 |   2  1.04     0     0     0 |   0     0 |  27M  219  4.23     0     0     0     0     0 
32.3%  609M  768K    0 | 236  4.07    27M    0 |   3  0.93     0     0     0 |   0     0 |  27M  221  4.20     0     0     0     0     0 
35.3%  609M  768K    0 | 231  4.14    27M    0 |   2  1.03     0     0     0 |   0     0 |  27M  217  4.25     0     0     0     0     0 
31.6%  609M  768K    0 | 238  4.06    27M    0 |   3  0.81     0     0     0 |   0     0 |  27M  223  4.19     0     0     0     0     0 
31.3%  609M  768K    0 | 237  4.06    28M    0 |   3  1.05     0     0     0 |   0     0 |  28M  224  4.19     0     0     0     0     0 
32.0%  609M  768K    0 | 237  4.08    27M    0 |   3  0.93     0     0     0 |   0     0 |  27M  221  4.21     0     0     0     0     0 
32.7%  609M  768K    0 | 232  4.13    27M    0 |   2  0.95     0     0     0 |   0     0 |  27M  218  4.25     0     0     0     0     0 
34.1%  609M  768K    0 | 231  4.14    27M    0 |   3  0.87     2  3.38     0 |   0     0 |  27M  216  4.27     0     0     0     0     0 
31.1%  609M  768K    0 | 233  4.12    27M    0 |   3  0.82     0     0     0 |   0     0 |  27M  218  4.26     0     0     0     0     0 
28.9%  609M  768K    0 | 241  4.02    28M    0 |   2  0.99     0     0     0 |   0     0 |  28M  227  4.14     0     0     0     0     0 
28.7%  609M  768K    0 | 240  4.03    28M    0 |   3  0.79     0     0     0 |   0     0 |  28M  225  4.17     0     0     0     0     0 
32.9%  609M  768K    0 | 230  4.17    27M    0 |   2  1.21     0     0     0 |   0     0 |  27M  216  4.28     0     0     0     0     0 
30.3%  609M  768K    0 | 234  4.12    27M    0 |   3  1.03     0     0     0 |   0     0 |  27M  219  4.25     0     0     0     0     0 
34.2%  609M  768K    0 | 230  4.18    26M    0 |   4  1.17     0     0     0 |   0     0 |  26M  215  4.30     0     0     0     0     0 
31.0%  610M  768K    0 | 239  4.05    28M    0 |   2  0.86     0     0     0 |   0     0 |  28M  225  4.16     0     0     0     0     0 
29.8%  610M  768K    0 | 241  4.03    28M    0 |   3  0.92     0     0     0 |   0     0 |  28M  226  4.16     0     0     0     0     0 
