---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
66.1%  499M  299M    0 | 912  0.93     0   112M|   4  2.79     2  4.24     0 |   0     0 |   0     0     0   112M  449  44.5     0     0 
67.0%  500M  299M    0 | 901  0.93     0   111M|   3  2.87     2  3.76     0 |   0     0 |   0     0     0   111M  447  44.5     0     0 
56.7%  501M  299M    0 | 909  0.95     0   112M|   4  2.04     2  3.26     0 |   0     0 |   0     0     0   111M  447  44.9     0     0 
48.8%  502M  299M    0 | 900  0.97     0   111M|   4  2.77     3  3.31     0 |   0     0 |   0     0     0   111M  444  44.4     0     0 
52.1%  503M  300M    0 | 913  0.96     0   112M|   2  1.65     0     0     0 |   0     0 |   0     0     0   111M  446  44.8     0     0 
59.4%  505M  299M    0 | 901  0.95     0   111M|   5  2.72     3  3.74     0 |   0     0 |   0     0     0   111M  446  44.0     0     0 
64.1%  506M  299M    0 | 894  0.96     0   110M|   2  2.53     3  3.44     0 |   0     0 |   0     0     0   111M  444  46.0     0     0 
59.3%  507M  300M    0 | 921  0.94     0   113M|   4  2.41     2  3.71     0 |   0     0 |   0     0     0   112M  449  44.2     0     0 
54.3%  508M  300M    0 | 906  0.95     0   111M|  17  2.77    16  2.88     0 |   0     0 |   0     0     0   111M  447  44.7     0     0 
46.8%  509M  298M    0 | 895  0.98     0   110M|   7  2.46     5  3.04     0 |   0     0 |   0     0     0   112M  446  44.6     0     0 
51.8%  509M  300M    0 | 913  0.94     0   112M|   4  1.64     1  3.21     0 |   0     0 |   0     0     0   111M  446  45.0     0     0 
52.7%  511M  300M    0 | 908  0.94     0   112M|   3  2.94     2  3.74     0 |   0     0 |   0     0     0   111M  449  44.7     0     0 
60.1%  514M  300M    0 | 907  0.94     0   111M|   4  2.60     2  4.08     0 |   0     0 |   0     0     0   111M  445  45.0     0     0 
56.2%  515M  299M    0 | 892  0.95     0   110M|   2  2.18     1  3.50     0 |   0     0 |   0     0     0   111M  443  44.6     0     0 
54.5%  517M  299M    0 | 907  0.98     0   111M|   5  2.63     3  3.60     0 |   0     0 |   0     0     0   111M  448  45.1     0     0 
52.9%  518M  300M    0 | 911  0.95     0   112M|   2  0.86     0     0     0 |   0     0 |   0     0     0   111M  446  44.5     0     0 
58.1%  519M  299M    0 | 900  0.96     0   111M|   5  2.83     4  3.29     0 |   0     0 |   0     0     0   112M  446  44.8     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
62.5%  520M  299M    0 | 911  0.92     0   112M|   2  1.12     2  3.29     0 |   0     0 |   0     0     0   112M  450  44.5     0     0 
59.8%  522M  299M    0 | 914  0.94     0   112M|   5  3.13     4  3.73     0 |   0     0 |   0     0     0   112M  448  44.7     0     0 
54.5%  523M  300M    0 | 909  0.95     0   111M|   3  1.44     0     0     0 |   0     0 |   0     0     0   111M  447  44.8     0     0 
47.1%  524M  299M    0 | 903  0.97     0   111M|   4  1.94     2  3.18     0 |   0     0 |   0     0     0   112M  448  44.0     0     0 
52.9%  524M  299M    0 | 912  0.94     0   112M|   3  2.43     2  3.09     0 |   0     0 |   0     0     0   112M  449  45.1     0     0 
56.6%  527M  300M    0 | 907  0.95     0   111M|   2  1.29     0     0     0 |   0     0 |   0     0     0   111M  445  44.6     0     0 
69.2%  528M  298M    0 | 896  0.94     0   110M|   5  3.70     4  4.32     0 |   0     0 |   0     0     0   112M  449  44.2     0     0 
62.2%  529M  299M    0 | 907  0.94     0   111M|   2  0.88     0     0     0 |   0     0 |   0     0     0   111M  445  45.0     0     0 
52.5%  530M  299M    0 | 913  0.96     0   112M|   6  2.38     4  3.19     0 |   0     0 |   0     0     0   112M  448  44.5     0     0 
44.7%  531M  299M    0 | 908  0.97     0   112M|   1  0.92     0     0     0 |   0     0 |   0     0     0   111M  446  45.1     0     0 
32.6%  532M  197M    0 |  90  1.04     0  9856K|   4  2.10     2  3.39     0 |   0     0 |   0     0     0   111M  447  44.7     0     0 
34.2%  534M   85M    0 |  12  0.40     0     0 |   3  2.42     2  2.97     0 |   0     0 |   0     0     0   112M  449  44.3     0     0 
54.3%  536M   74M    0 | 757  7.25     0    92M|  13  3.88    12  3.21     0 |   0     0 |   0     0     0   104M  419  43.8     0     0 
68.8%  537M  191M    0 |1849  0.07     0   229M|   4  3.36     2  3.48     0 |   0     0 |   0     0     0   112M  447  44.5     0     0 
39.1%  540M   79M    0 |  12  0.84     0     0 |   4  3.00     3  3.56     0 |   0     0 |   0     0     0   111M  447  45.1     0     0 
44.6%  543M   21M    0 | 354  14.4     0    42M|  22  2.90    20  2.96     0 |   0     0 |   0     0     0   100M  404  42.7     0     0 
39.2%  544M  512K    0 | 543  1.28     0    65M|   3  2.82     2  3.68     0 |   0     0 |   0     0     0    86M  348  44.6     0     0 
 1.4%  544M  512K    0 |  13  0.46     0     0 |   2  1.09     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 2.6%  545M  512K    0 |  16  0.70     0     0 |   5  1.51     1  3.64     0 |   0     0 |   0     0     0     0     0     0     0     0 
38.0%  547M  156M    0 |1511  0.08     0   184M|  10  1.02     5  2.59     0 |   0     0 |   0     0     0    29M  118  41.6     0     0 
62.9%  550M  299M    0 |2044  0.37     0   255M|   4  2.24     2  3.60     0 |   0     0 |   0     0     0   111M  447  44.4     0     0 
49.6%  551M  299M    0 | 900  0.98     0   111M|   2  2.56     1  3.79     0 |   0     0 |   0     0     0   111M  445  45.5     0     0 
51.6%  552M  298M    0 | 905  0.97     0   111M|   5  2.52     2  4.12     0 |   0     0 |   0     0     0   111M  447  44.1     0     0 
56.8%  553M  299M    0 | 917  0.95     0   113M|   4  2.64     2  4.25     0 |   0     0 |   0     0     0   111M  450  44.7     0     0 
53.1%  554M  299M    0 | 904  0.96     0   111M|   3  2.76     4  3.53     0 |   0     0 |   0     0     0   111M  444  44.9     0     0 
50.4%  555M  299M    0 | 909  0.96     0   112M|   3  1.81     1  3.57     0 |   0     0 |   0     0     0   112M  449  44.8     0     0 
44.7%  556M  300M    0 | 912  0.99     0   112M|   3  2.54     2  3.30     0 |   0     0 |   0     0     0   111M  448  44.5     0     0 
49.0%  557M  299M    0 | 905  0.97     0   111M|   4  2.38     2  3.66     0 |   0     0 |   0     0     0   111M  447  44.7     0     0 
56.3%  558M  300M    0 | 915  0.94     0   112M|   4  2.59     2  4.13     0 |   0     0 |   0     0     0   112M  450  44.5     0     0 
55.3%  559M  299M    0 | 904  0.94     0   111M|   2  2.48     1  3.94     0 |   0     0 |   0     0     0   112M  447  44.6     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
61.7%  564M  299M    0 | 905  0.97     0   111M|   4  2.67     2  4.16     0 |   0     0 |   0     0     0   111M  447  43.9     0     0 
56.8%  565M  300M    0 | 912  0.98     0   112M|   3  2.42     2  3.22     0 |   0     0 |   0     0     0   111M  447  45.5     0     0 
55.7%  566M  299M    0 | 901  0.99     0   111M|   4  2.62     2  4.03     0 |   0     0 |   0     0     0   111M  446  44.4     0     0 
51.2%  567M  299M    0 | 907  0.97     0   111M|   4  1.91     1  3.59     0 |   0     0 |   0     0     0   112M  446  44.6     0     0 
61.1%  569M  299M    0 | 908  0.94     0   112M|   3  3.22     2  4.20     0 |   0     0 |   0     0     0   111M  449  44.9     0     0 
62.5%  570M  298M    0 | 903  0.95     0   111M|   4  2.48     4  3.34     0 |   0     0 |   0     0     0   112M  448  44.5     0     0 
59.7%  571M  299M    0 | 904  0.96     0   111M|   3  2.87     2  3.91     0 |   0     0 |   0     0     0   110M  444  44.5     0     0 
48.5%  571M  299M    0 | 907  0.99     0   111M|   3  1.47     1  2.50     0 |   0     0 |   0     0     0   112M  447  45.1     0     0 
49.1%  572M  300M    0 | 911  0.98     0   112M|   4  2.73     2  4.54     0 |   0     0 |   0     0     0   111M  446  44.8     0     0 
50.8%  573M  299M    0 | 904  0.96     0   111M|   3  2.86     2  3.72     0 |   0     0 |   0     0     0   112M  450  44.6     0     0 
57.8%  574M  300M    0 | 911  0.95     0   112M|   4  2.50     2  4.15     0 |   0     0 |   0     0     0   111M  445  44.7     0     0 
53.9%  577M  299M    0 | 905  0.97     0   111M|   2  2.70     1  4.14     0 |   0     0 |   0     0     0   111M  450  44.3     0     0 
56.2%  578M  300M    0 | 902  0.96     0   111M|   4  2.51     2  4.08     0 |   0     0 |   0     0     0   110M  441  45.1     0     0 
49.8%  580M  299M    0 | 907  0.99     0   111M|   5  2.41     2  4.01     0 |   0     0 |   0     0     0   112M  450  44.6     0     0 
52.5%  580M  299M    0 | 902  0.97     0   111M|   3  3.05     2  4.12     0 |   0     0 |   0     0     0   111M  446  44.6     0     0 
56.6%  581M  300M    0 | 913  0.94     0   112M|   3  2.38     1  5.00     0 |   0     0 |   0     0     0   111M  447  44.8     0     0 
57.3%  582M  300M    0 | 904  0.95     0   111M|   3  3.38     2  4.54     0 |   0     0 |   0     0     0   111M  446  44.6     0     0 
49.8%  583M  299M    0 | 903  0.98     0   111M|   4  2.37     4  3.14     0 |   0     0 |   0     0     0   111M  446  45.1     0     0 
