---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 1.7%  467M  256K    0 |  25  0.32     0     0 |   3  0.82     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 3.1%  468M  256K    0 |  25  0.29     0     0 |   4  1.15     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 103%  475M  245M    0 |2647  0.12     0   325M|  23  1.03     5  4.14     0 |   0     0 |   0     0     0    81M  326  43.5     0     0 
82.0%  479M  299M    0 |1361  0.57     0   166M|  10  2.77     7  3.54     0 |   0     0 |   0     0     0   112M  450  44.5     0     0 
85.8%  485M  299M    0 | 927  0.92     0   112M|  36  2.86    33  3.03     0 |   0     0 |   0     0     0   112M  448  44.1     0     0 
50.2%  486M  299M    0 | 918  0.96     0   111M|   6  2.37     4  3.10     0 |   0     0 |   0     0     0   112M  449  44.8     0     0 
47.0%  486M  298M    0 | 919  0.97     0   111M|   7  1.97     4  2.79     0 |   0     0 |   0     0     0   112M  448  44.2     0     0 
61.7%  487M  300M    0 | 931  0.95     0   113M|   4  1.52     1  3.45     0 |   0     0 |   0     0     0   112M  448  45.1     0     0 
67.7%  487M  300M    0 | 923  0.93     0   112M|   5  2.21     2  4.08     0 |   0     0 |   0     0     0   112M  449  44.5     0     0 
65.0%  487M  300M    0 | 916  0.95     0   111M|   3  2.11     1  4.08     0 |   0     0 |   0     0     0   111M  446  44.8     0     0 
68.3%  487M  299M    0 | 911  0.94     0   110M|  10  2.90     7  3.78     0 |   0     0 |   0     0     0   111M  446  44.3     0     0 
62.3%  487M  300M    0 | 923  0.97     0   112M|  14  2.47    10  2.99     0 |   0     0 |   0     0     0   112M  450  44.9     0     0 
63.1%  488M  300M    0 | 928  0.97     0   111M|  25  3.17    25  3.06     0 |   0     0 |   0     0     0   112M  448  44.6     0     0 
56.2%  488M  300M    0 | 921  0.95     0   112M|   4  1.62     1  3.68     0 |   0     0 |   0     0     0   112M  448  44.3     0     0 
59.4%  488M  299M    0 | 919  0.92     0   111M|   5  2.33     2  4.29     0 |   0     0 |   0     0     0   112M  451  44.5     0     0 
60.6%  488M  300M    0 | 924  0.94     0   112M|   6  2.86     4  3.71     0 |   0     0 |   0     0     0   112M  446  44.9     0     0 
65.3%  488M  300M    0 | 917  0.94     0   111M|   4  1.74     1  3.70     0 |   0     0 |   0     0     0   111M  447  44.1     0     0 
