------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
72.5% 1020M  596M| 882   150     0   108M|  25  3.09 |   0     0 |   0   111M
80.9% 1022M  598M| 907   147     0   112M|  44  3.09 |   0     0 |   0   111M
81.6% 1024M  600M| 920   124     0   114M|  39  3.17 |   0     0 |   0   112M
76.4% 1027M  599M| 901   136     0   109M|  26  3.16 |   0     0 |   0   110M
66.5% 1030M  598M| 906   158     0   111M|  21  2.98 |   0     0 |   0   111M
66.7% 1032M  595M| 873   134     0   107M|  28  2.80 |   0     0 |   0   110M
72.4% 1034M  596M| 927   139     0   114M|  30  2.87 |   0     0 |   0   111M
79.5% 1036M  600M| 944   150     0   116M|  33  3.19 |   0     0 |   0   111M
81.0% 1037M  598M| 905   136     0   111M|  30  3.24 |   0     0 |   0   111M
72.5% 1040M  599M| 921   139     0   112M|  32  3.15 |   0     0 |   0   111M
66.1% 1042M  599M| 917   137     0   113M|  31  2.78 |   0     0 |   0   112M
74.4% 1044M  596M| 870   146     0   107M|  25  3.14 |   0     0 |   0   112M
75.6% 1046M  600M| 930   145     0   114M|  25  3.19 |   0     0 |   0   111M
75.8% 1048M  596M| 892   128     0   109M|  24  3.19 |   0     0 |   0   112M
77.2% 1050M  598M| 916   148     0   113M|  26  3.16 |   0     0 |   0   110M
73.1% 1053M  600M| 913   134     0   112M|  26  3.02 |   0     0 |   0   112M
69.5% 1055M  596M| 872   155     0   107M|  34  2.93 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
79.1% 1057M  599M| 934   126     0   114M|  27  3.18 |   0     0 |   0   111M
70.4% 1059M  593M| 880   154     0   108M|  24  2.94 |   0     0 |   0   111M
76.6% 1062M  599M| 942   138     0   116M|  24  3.31 |   0     0 |   0   112M
72.9% 1064M  595M| 854   144     0   108M|  32  3.07 |   0     0 |   0   111M
71.3% 1066M  598M| 943   128     0   112M|  29  2.94 |   0     0 |   0   111M
72.6% 1068M  599M| 914   153     0   112M|  25  3.02 |   0     0 |   0   111M
73.5% 1071M  599M| 902   121     0   111M|  19  3.18 |   0     0 |   0   110M
70.8% 1073M  599M| 889   148     0   109M|  28  2.98 |   0     0 |   0   110M
81.2% 1075M  600M| 924   160     0   113M|  31  3.18 |   0     0 |   0   111M
76.6% 1077M  596M| 864   136     0   106M|  34  3.07 |   0     0 |   0   111M
71.4% 1080M  599M| 935   135     0   115M|  25  3.13 |   0     0 |   0   111M
74.4% 1082M  598M| 890   140     0   109M|  18  3.16 |   0     0 |   0   111M
76.2% 1084M  599M| 913   139     0   112M|  31  3.13 |   0     0 |   0   110M
68.1% 1086M  600M| 900   159     0   111M|  21  2.92 |   0     0 |   0   112M
77.2% 1088M  597M| 877   124     0   107M|  35  3.00 |   0     0 |   0   110M
75.6% 1091M  599M| 927   152     0   114M|  27  3.17 |   0     0 |   0   111M
66.4% 1093M  594M| 861   133     0   105M|  20  2.84 |   0     0 |   0   111M
75.5% 1094M  597M| 926   143     0   114M|  20  3.32 |   0     0 |   0   111M
71.2% 1096M  599M| 917   150     0   112M|  25  3.07 |   0     0 |   0   111M
78.7% 1099M  596M| 895   123     0   110M|  39  3.09 |   0     0 |   0   111M
74.2% 1101M  598M| 918   159     0   113M|  27  3.00 |   0     0 |   0   111M
72.2% 1104M  600M| 917   138     0   112M|  27  2.94 |   0     0 |   0   112M
71.4% 1106M  597M| 890   137     0   109M|  16  3.31 |   0     0 |   0   111M
77.5% 1109M  600M| 934   146     0   115M|  23  3.35 |   0     0 |   0   112M
79.6% 1124M  596M| 883   143     0   108M|  43  2.90 |   0     0 |   0   110M
80.9% 1129M  599M| 925   121     0   114M|  25  3.27 |   0     0 |   0   112M
78.1% 1132M  598M| 907   155     0   111M|  20  3.22 |   0     0 |   0   112M
70.3% 1134M  599M| 924   145     0   114M|  23  2.98 |   0     0 |   0   111M
77.5% 1136M  600M| 905   140     0   110M|  27  3.02 |   0     0 |   0   111M
82.2% 1140M  598M| 891   135     0   110M|  32  3.08 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
76.8% 1142M  599M| 913   138     0   112M|  33  2.99 |   0     0 |   0   111M
79.2% 1144M  597M| 886   142     0   109M|  20  3.19 |   0     0 |   0   112M
 100% 1147M  596M| 910   141     0   112M|  17  3.55 |   0     0 |   0   111M
77.9% 1149M  600M| 928   141     0   114M|  26  2.99 |   0     0 |   0   111M
81.4% 1149M  596M| 897   133     0   110M|  33  3.17 |   0     0 |   0   112M
80.7% 1150M  597M| 909   156     0   112M|  37  3.15 |   0     0 |   0   111M
81.7% 1150M  600M| 921   141     0   113M|  24  3.22 |   0     0 |   0   112M
79.1% 1150M  598M| 889   131     0   109M|  20  3.48 |   0     0 |   0   110M
70.8% 1150M  599M| 906   145     0   111M|  19  3.07 |   0     0 |   0   111M
66.9% 1150M  591M| 857   134     0   105M|  27  2.88 |   0     0 |   0   112M
80.7% 1150M  599M| 977   139     0   120M|  36  3.12 |   0     0 |   0   112M
74.6% 1150M  599M| 904   141     0   111M|  29  2.96 |   0     0 |   0   111M
75.2% 1150M  597M| 887   140     0   109M|  19  3.31 |   0     0 |   0   111M
73.0% 1150M  598M| 923   152     0   113M|  24  3.05 |   0     0 |   0   111M
64.7% 1150M  598M| 912   131     0   112M|  34  2.72 |   0     0 |   0   111M
76.4% 1150M  597M| 880   134     0   108M|  30  3.08 |   0     0 |   0   111M
