------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 155% 1167M  600M|1027   134     0   121M| 512  2.35 |   0     0 |   0   111M
 175% 1182M  598M| 938   121     0   110M| 530  2.57 |   0     0 |   0   112M
 185% 1199M  599M| 952   145     0   111M| 488  2.87 |   0     0 | 256K  111M
 182% 1217M  597M| 943   132     0   110M| 461  2.88 |   0     0 |   0   112M
 157% 1234M  599M| 975   138     0   114M| 439  2.51 |   0     0 |   0   111M
 250% 1243M  596M| 918   140     0   107M| 443  2.47 |   0     0 |   0   111M
 149% 1243M  600M| 977   136     0   114M| 456  2.34 |   0     0 |   0   112M
 167% 1243M  598M| 928   125     0   109M| 441  2.78 |   0     0 |   0   110M
 177% 1243M  600M| 978   145     0   114M| 457  2.88 |   0     0 |   0   112M
 171% 1243M  598M| 928   125     0   109M| 451  2.78 |   0     0 |   0   111M
 154% 1243M  591M| 886   143     0   103M| 449  2.53 |   0     0 |   0   111M
 142% 1245M  598M|1016   123     0   119M| 451  2.17 |   0     0 |   0   112M
 147% 1245M  601M| 968   147     0   113M| 459  2.35 |   0     0 |   0   111M
 169% 1246M  596M| 908   128     0   106M| 452  2.74 |   0     0 |   0   112M
 177% 1248M  590M| 908   141     0   106M| 458  2.83 |   0     0 |   0   111M
 175% 1263M  599M|1008   128     0   119M| 444  2.69 |   0     0 |   0   111M
 159% 1282M  592M| 886   133     0   103M| 443  2.54 |   0     0 |   0   111M
 149% 1303M  600M|1025   140     0   121M| 453  2.31 |   0     0 |   0   111M
 161% 1323M  590M| 879   133     0   102M| 453  2.63 |   0     0 |   0   111M
 186% 1343M  598M|1015   134     0   119M| 450  2.93 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 179% 1364M  594M| 906   134     0   106M| 444  2.94 |   0     0 |   0   111M
 174% 1384M  599M| 993   127     0   117M| 454  2.85 |   0     0 |   0   111M
 157% 1403M  600M| 957   141     0   112M| 436  2.54 |   0     0 |   0   110M
 149% 1425M  595M| 899   144     0   105M| 457  2.39 |   0     0 |   0   112M
 165% 1446M  597M|1002   129     0   116M| 448  2.65 |   0     0 |   0   111M
 189% 1467M  596M| 918   140     0   109M| 456  3.01 |   0     0 |   0   111M
 173% 1488M  595M| 945   119     0   111M| 448  2.80 |   0     0 |   0   112M
 168% 1509M  598M| 971   148     0   114M| 453  2.70 |   0     0 |   0   111M
 150% 1531M  594M| 913   135     0   107M| 446  2.38 |   0     0 |   0   111M
 166% 1551M  600M|1001   128     0   118M| 455  2.56 |   0     0 |   0   112M
 183% 1573M  598M| 939   123     0   110M| 458  2.87 |   0     0 |   0   112M
 187% 1594M  599M| 967   145     0   113M| 452  2.89 |   0     0 |   0   112M
 163% 1613M  594M| 898   141     0   105M| 442  2.74 |   0     0 |   0   110M
 154% 1635M  600M| 989   140     0   116M| 450  2.44 |   0     0 |   0   110M
 144% 1655M  597M| 910   133     0   106M| 455  2.23 |   0     0 |   0   111M
 155% 1676M  596M| 946   131     0   111M| 446  2.47 |   0     0 |   0   111M
 177% 1698M  599M| 970   128     0   114M| 448  2.86 |   0     0 |   0   111M
 286% 1711M  595M| 922   145     0   108M| 451  3.06 |   0     0 |   0   110M
 166% 1711M  600M| 997   136     0   117M| 449  2.69 |   0     0 |   0   112M
 152% 1711M  598M| 936   132     0   110M| 445  2.55 |   0     0 |   0   110M
