------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
53.1%  548M  300M| 911  0.84     0   110M|   5  2.05 |   0     0 |   0   111M
47.7%  549M  299M| 915  0.86     0   111M|   4  1.55 |   0     0 |   0   111M
49.5%  551M  300M| 916  0.85     0   111M|   4  2.33 |   0     0 |   0   111M
60.4%  551M  299M| 911  0.82     0   110M|   6  2.25 |   0     0 |   0   111M
57.6%  553M  299M| 921  0.80     0   112M|   5  2.09 |   0     0 |   0   112M
60.6%  554M  299M| 910  0.79     0   110M|   3  2.34 |   0     0 |   0   110M
55.0%  558M  299M| 919  0.85     0   111M|   5  2.43 |   0     0 |   0   111M
59.1%  565M  299M| 927  0.86     0   112M|   5  2.09 |   0     0 |   0   112M
67.6%  567M  299M| 914  0.84     0   111M|   4  2.40 |   0     0 |   0   111M
67.1%  569M  300M| 928  0.79     0   112M|   5  1.88 |   0     0 |   0   112M
66.8%  570M  299M| 924  0.81     0   112M|   5  2.63 |   0     0 |   0   112M
57.0%  571M  300M| 913  0.83     0   111M|   4  2.62 |   0     0 |   0   111M
48.3%  572M  299M| 902  0.88     0   110M|   5  1.79 |   0     0 |   0   110M
48.4%  574M  297M| 901  0.85     0   109M|   5  1.56 |   0     0 |   0   111M
41.1%  575M  186M|  25  0.41     0     0 |   5  2.47 |   0     0 |   0   111M
41.1%  576M   73M|  24  0.39     0     0 |   4  2.61 |   0     0 |   0   112M
22.5%  577M  256K|  26   104     0     0 |   6  2.66 |   0     0 |   0    73M
68.1%  582M 3584K| 512  3.42    60M    0 |  11  1.08 |   0     0 |  60M    0 
 109%  584M 3072K| 810  3.52    97M    0 |  10  0.93 |   0     0 |  98M    0 
 120%  586M 3200K| 813  3.64    98M    0 |   8  1.05 |   0     0 |  97M    0 
 134%  589M 3328K| 846  3.22   102M    0 |   7  1.10 |   0     0 | 103M    0 
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 127%  591M 3072K| 832  3.65   100M    0 |  11  1.03 |   0     0 |  99M    0 
 137%  593M 3328K| 865  3.29   104M    0 |   6  1.16 |   0     0 | 104M    0 
 116%  596M 3328K| 844  3.44   101M    0 |   8  1.33 |   0     0 | 101M    0 
 109%  599M 3328K| 824  3.38    99M    0 |  10  0.99 |   0     0 | 100M    0 
 128%  601M 3328K| 842  3.45   101M    0 |  11  1.00 |   0     0 | 102M    0 
 130%  603M 3328K| 835  3.44   101M    0 |  10  1.11 |   0     0 | 100M    0 
 138%  606M 3328K| 820  3.55    98M    0 |   5  1.35 |   0     0 |  98M    0 
 122%  608M 4352K| 816  3.41    98M    0 |  10  0.90 |   0     0 |  99M    0 
 101%  610M 3328K| 824  3.41    99M    0 |   6  0.83 |   0     0 |  99M    0 
 116%  613M 3328K| 849  3.38   102M    0 |   5  1.27 |   0     0 | 103M    0 
 134%  615M 4864K| 840  3.26   101M    0 |   8  1.15 |   0     0 | 101M    0 
 128%  617M 3328K| 851  3.39   102M    0 |  10  1.05 |   0     0 | 102M    0 
 131%  619M 3328K| 861  3.26   104M    0 |  11  1.18 |   0     0 | 104M    0 
 122%  622M 3328K| 840  3.48   101M    0 |   5  1.11 |   0     0 | 100M    0 
 101%  625M 3328K| 829  3.56   101M    0 |   5  0.94 |   0     0 | 101M    0 
 120%  627M 3200K| 858  3.33   102M    0 |   6  1.05 |   0     0 | 103M    0 
 134%  629M 3200K| 850  3.45   103M    0 |   7  1.08 |   0     0 | 102M    0 
 122%  631M 3328K| 840  3.33   101M    0 |   9  1.12 |   0     0 | 101M    0 
 131%  634M 3328K| 853  3.34   103M    0 |   4  1.11 |   0     0 | 103M    0 
 108%  635M 3328K| 854  3.46   102M    0 |   7  0.92 |   0     0 | 103M    0 
 110%  638M 3072K| 828  3.53   100M    0 |   7  0.99 |   0     0 | 100M    0 
 136%  641M 3328K| 861  3.26   104M    0 |  11  1.10 |   0     0 | 103M    0 
 130%  644M 3328K| 832  3.47   100M    0 |   8  1.20 |   0     0 | 101M    0 
 138%  646M 3328K| 832  3.44   100M    0 |   5  1.19 |   0     0 | 100M    0 
 124%  648M 3328K| 829  3.52    99M    0 |   7  1.09 |   0     0 | 100M    0 
99.7%  650M 3072K| 818  3.66    99M    0 |   9  0.92 |   0     0 |  98M    0 
 118%  652M 3200K| 846  3.30   102M    0 |   7  0.98 |   0     0 | 102M    0 
 133%  654M 3328K| 841  3.47   101M    0 |   8  1.13 |   0     0 | 101M    0 
 129%  657M 3200K| 840  3.38   101M    0 |   7  1.06 |   0     0 | 101M    0 
 131%  660M 4864K| 841  3.29   101M    0 |   6  1.12 |   0     0 | 101M    0 
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 112%  662M 3328K| 813  3.59    98M    0 |   5  1.00 |   0     0 |  98M    0 
 105%  665M 3584K| 814  3.68    98M    0 |   8  1.05 |   0     0 |  98M    0 
 128%  666M 3072K| 834  3.46   100M    0 |   6  1.04 |   0     0 | 102M    0 
 133%  669M 3072K| 864  3.34   104M    0 |   9  1.09 |   0     0 | 102M    0 
 128%  671M 3328K| 843  3.55   102M    0 |   6  1.04 |   0     0 | 102M    0 
 131%  673M 3328K| 862  3.21   104M    0 |   6  1.17 |   0     0 | 104M    0 
93.8%  675M  256K| 705  3.54    84M    0 |   5  0.93 |   0     0 |  84M    0 
 2.6%  676M  256K|  27  0.35     0     0 |   3  0.95 |   0     0 |   0     0 
 2.9%  677M  256K|  27  0.37     0     0 |   3  0.93 |   0     0 |   0     0 
 2.1%  678M  256K|  27  0.35     0     0 |   3  0.98 |   0     0 |   0     0 
 2.9%  679M  256K|  26  0.36     0     0 |   2  1.08 |   0     0 |   0     0 
 2.1%  681M  256K|  27  0.33     0     0 |   3  0.93 |   0     0 |   0     0 
 3.3%  681M  256K|  27  0.32     0     0 |   4  1.11 |   0     0 |   0     0 
 2.5%  683M  256K|  26  0.30     0     0 |   2  0.91 |   0     0 |   0     0 
