------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 3.8%  719M  256K|  40  0.36     0     0 |   4  0.97 |   0     0 |   0     0 
 3.5%  719M  256K|  40  0.36     0     0 |   4  0.91 |   0     0 |   0     0 
 3.0%  719M  256K|  40  0.33     0     0 |   4  0.77 |   0     0 |   0     0 
 2.9%  719M  256K|  39  0.31     0     0 |   3  0.87 |   0     0 |   0     0 
 4.8%  719M  256K|  40  0.35     0     0 |   4  0.89 |   0     0 |   0     0 
 3.0%  719M  256K|  40  0.36     0     0 |   4  0.95 |   0     0 |   0     0 
 3.9%  719M  256K|  40  0.38     0     0 |   5  1.16 |   0     0 |   0     0 
 3.8%  719M  256K|  40  0.34     0     0 |   4  0.87 |   0     0 |   0     0 
 3.1%  719M  256K|  39  0.31     0     0 |   3  0.88 |   0     0 |   0     0 
 3.5%  719M  256K|  40  0.34     0     0 |   4  0.90 |   0     0 |   0     0 
 3.9%  719M  256K|  40  0.40     0     0 |   4  0.99 |   0     0 |   0     0 
 3.2%  719M  256K|  40  0.37     0     0 |   4  0.96 |   0     0 |   0     0 
 3.6%  719M  256K|  40  0.36     0     0 |   4  0.96 |   0     0 |   0     0 
 2.7%  719M  256K|  39  0.29     0     0 |   3  0.77 |   0     0 |   0     0 
 2.8%  719M  256K|  40  0.28     0     0 |   4  0.89 |   0     0 |   0     0 
 3.6%  719M  256K|  40  0.36     0     0 |   4  0.96 |   0     0 |   0     0 
 4.5%  719M  256K|  40  0.34     0     0 |   5  1.18 |   0     0 |   0     0 
 3.5%  719M  256K|  40  0.34     0     0 |   4  0.95 |   0     0 |   0     0 
 3.7%  719M  256K|  39  0.35     0     0 |   3  0.97 |   0     0 |   0     0 
 3.5%  720M  256K|  40  0.33     0     0 |   4  0.87 |   0     0 |   0     0 
 3.1%  720M  256K|  40  0.39     0     0 |   5  1.06 |   0     0 |   0     0 
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 3.5%  720M  256K|  40  0.35     0     0 |   4  0.89 |   0     0 |   0     0 
 3.9%  720M  256K|  40  0.38     0     0 |   4  0.98 |   0     0 |   0     0 
 2.8%  720M  256K|  39  0.33     0     0 |   3  0.93 |   0     0 |   0     0 
 3.9%  720M  256K|  40  0.34     0     0 |   4  0.89 |   0     0 |   0     0 
 2.7%  721M  256K|  40  0.34     0     0 |   4  0.91 |   0     0 |   0     0 
 3.9%  721M  256K|  40  0.37     0     0 |   5  1.17 |   0     0 |   0     0 
 3.9%  721M  256K|  40  0.34     0     0 |   4  0.82 |   0     0 |   0     0 
 4.0%  721M  256K|  39  0.33     0     0 |   3  0.86 |   0     0 |   0     0 
 3.3%  721M  256K|  40  0.35     0     0 |   4  0.93 |   0     0 |   0     0 
 3.4%  721M  256K|  40  0.33     0     0 |   4  0.85 |   0     0 |   0     0 
 3.1%  721M  256K|  40  0.37     0     0 |   4  1.01 |   0     0 |   0     0 
 3.8%  721M  256K|  40  0.35     0     0 |   4  0.91 |   0     0 |   0     0 
 2.9%  722M  256K|  39  0.35     0     0 |   3  1.02 |   0     0 |   0     0 
 3.7%  722M  256K|  40  0.34     0     0 |   4  0.95 |   0     0 |   0     0 
 3.1%  722M  256K|  40  0.36     0     0 |   4  0.87 |   0     0 |   0     0 
 3.7%  722M  256K|  40  0.32     0     0 |   5  1.01 |   0     0 |   0     0 
 2.9%  723M  256K|  40  0.35     0     0 |   4  1.01 |   0     0 |   0     0 
 3.9%  723M  256K|  39  0.34     0     0 |   3  0.78 |   0     0 |   0     0 
 3.7%  723M  256K|  40  0.34     0     0 |   4  0.89 |   0     0 |   0     0 
 3.3%  723M  256K|  40  0.36     0     0 |   4  0.96 |   0     0 |   0     0 
 3.0%  724M  256K|  40  0.31     0     0 |   4  0.82 |   0     0 |   0     0 
15.3%  726M  256K|  40  0.36     0     0 |   4  0.99 |   0     0 |   0     0 
 3.4%  726M  256K|  39  0.33     0     0 |   3  0.89 |   0     0 |   0     0 
 3.5%  726M  256K|  40  0.37     0     0 |   4  1.00 |   0     0 |   0     0 
 3.2%  726M  256K|  40  0.37     0     0 |   4  1.06 |   0     0 |   0     0 
 3.4%  726M  256K|  40  0.34     0     0 |   5  1.21 |   0     0 |   0     0 
37.3%  727M   67M| 833  0.15     0    94M|  30  0.71 |   0     0 |   0    27M
 108%  727M  240M|2338  0.15     0   286M|   5  1.87 |   0     0 |   0   113M
84.1%  727M  300M|1422  0.42     0   171M|   7  2.14 |   0     0 |   0   111M
62.9%  727M  299M| 946  0.80     0   112M|   7  1.92 |   0     0 |   0   112M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
63.9%  727M  300M| 954  0.80     0   112M|   6  1.58 |   0     0 |   0   112M
57.5%  727M  299M| 927  0.84     0   109M|   7  1.70 |   0     0 |   0   110M
52.1%  727M  300M| 949  0.83     0   112M|   6  1.44 |   0     0 |   0   111M
64.0%  727M  299M| 945  0.82     0   111M|   7  1.82 |   0     0 |   0   111M
62.6%  727M  299M| 944  0.80     0   111M|   6  2.39 |   0     0 |   0   111M
60.3%  727M  299M| 948  0.80     0   111M|   7  1.88 |   0     0 |   0   112M
64.3%  727M  299M| 942  0.78     0   111M|   8  2.07 |   0     0 |   0   111M
52.1%  727M  300M| 951  0.85     0   112M|   6  1.28 |   0     0 |   0   111M
57.6%  727M  299M| 947  0.83     0   111M|   7  1.84 |   0     0 |   0   111M
64.4%  727M  299M| 940  0.78     0   112M|   5  1.77 |   0     0 |   0   112M
64.3%  727M  299M| 951  0.78     0   111M|   7  2.03 |   0     0 |   0   111M
61.3%  727M  300M| 947  0.80     0   111M|   7  1.94 |   0     0 |   0   111M
61.4%  727M  299M| 937  0.80     0   110M|   6  1.66 |   0     0 |   0   111M
47.1%  727M  299M| 948  0.86     0   111M|   7  1.50 |   0     0 |   0   111M
61.8%  727M  299M| 949  0.80     0   112M|   6  2.24 |   0     0 |   0   112M
76.7%  728M  299M| 941  0.79     0   111M|   7  2.15 |   0     0 |   0   111M
74.1%  728M  299M| 929  0.81     0   109M|   7  1.71 |   0     0 |   0   109M
69.7%  728M  299M| 948  0.80     0   112M|   7  2.21 |   0     0 |   0   112M
58.3%  728M  299M| 953  0.81     0   111M|   7  1.67 |   0     0 |   0   111M
48.0%  728M  299M| 939  0.86     0   111M|   6  1.54 |   0     0 |   0   112M
59.2%  728M  300M| 951  0.81     0   112M|   6  1.51 |   0     0 |   0   111M
63.0%  728M  299M| 941  0.79     0   111M|   7  1.97 |   0     0 |   0   111M
60.9%  728M  300M| 950  0.81     0   111M|   7  1.95 |   0     0 |   0   111M
59.9%  728M  299M| 951  0.81     0   112M|   6  1.62 |   0     0 |   0   112M
48.8%  728M  299M| 943  0.86     0   110M|   6  1.57 |   0     0 |   0   111M
51.3%  728M  299M| 931  0.84     0   112M|   7  1.94 |   0     0 |   0   112M
61.8%  728M  299M| 937  0.80     0   111M|   6  2.15 |   0     0 |   0   112M
67.5%  728M  300M| 938  0.80     0   112M|   5  1.86 |   0     0 |   0   111M
69.1%  728M  299M| 929  0.82     0   111M|   5  2.37 |   0     0 |   0   112M
68.7%  728M  300M| 934  0.80     0   111M|   6  2.13 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
42.3%  728M  274M| 729  0.86     0    86M|   6  1.56 |   0     0 |   0   112M
39.2%  728M  162M|  40  0.36     0     0 |   5  1.69 |   0     0 |   0   111M
41.5%  728M   50M|  40  0.37     0     0 |   6  1.98 |   0     0 |   0   112M
13.9%  728M  256K|  40  67.8     0     0 |   6  2.46 |   0     0 |   0    50M
