---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
54.8%  927M  600M    0 | 884  17.7     0   108M|  10  3.03     8  3.53     0 |   0     0 |   0     0     0   108M  435   335     0     0 
23.1%  927M  591M    0 | 322  50.3     0    38M|   7  2.33     5  2.85     0 |   0     0 |   0     0     0    46M  187   817     0     0 
25.2%  927M  600M    0 | 406  30.2     0    49M|   5  3.05     4  3.54     0 |   0     0 |   0     0     0    40M  163   731     0     0 
37.4%  928M  600M    0 | 418  45.1     0    50M|   7  3.11     5  3.89     0 |   0     0 |   0     0     0    50M  204   661     0     0 
73.6%  929M  600M    0 | 964  13.7     0   118M|   1  1.20     0     0     0 |   0     0 |   0     0     0   118M  475   321     0     0 
29.5%  929M  598M    0 | 337  42.9     0    40M|   2  1.03     0     0     0 |   0     0 |   0     0     0    43M  172   921     0     0 
63.3%  930M  593M    0 | 590  35.1     0    72M|  10  2.86     8  3.25     0 |   0     0 |   0     0     0    76M  308   641     0     0 
61.2%  931M  580M    0 | 589  26.9     0    73M|   9  3.16     8  3.37     0 |   0     0 |   0     0     0    85M  344   446     0     0 
56.9%  931M  600M    0 | 698  15.6     0    83M|   2  1.05     2  3.77     0 |   0     0 |   0     0     0    64M  259   282     0     0 
33.2%  931M  595M    0 | 384  41.2     0    46M|   2  1.53     0     0     0 |   0     0 |   0     0     0    51M  204   815     0     0 
46.6%  931M  564M    0 | 422  41.3     0    51M|   2  1.25     0     0     0 |   0     0 |   0     0     0    82M  328   667     0     0 
56.1%  931M  583M    0 | 900  21.6     0   110M|  16  2.85    14  3.12     0 |   0     0 |   0     0     0    91M  369   359     0     0 
29.5%  931M  600M    0 | 463  20.2     0    56M|   3  2.39     2  2.99     0 |   0     0 |   0     0     0    40M  158   345     0     0 
36.7%  931M  599M    0 | 642  35.0     0    78M|   2  1.15     0     0     0 |   0     0 |   0     0     0    81M  324   753     0     0 
22.2%  931M  600M    0 | 334  36.0     0    40M|   1  1.24     0     0     0 |   0     0 |   0     0     0    39M  159   658     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
57.7%  931M  597M    0 |1018  18.5     0   125M|   4  2.29     2  3.46     0 |   0     0 |   0     0     0   127M  511   380     0     0 
25.9%  931M  600M    0 | 315  34.7     0    37M|   3  1.96     1  3.83     0 |   0     0 |   0     0     0    34M  140   302     0     0 
35.7%  931M  600M    0 | 674  31.9     0    82M|  14  3.01    13  3.15     0 |   0     0 |   0     0     0    82M  331   777     0     0 
