---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
35.0%  632M  300M    0 | 560  1.68     0    68M|   3  1.94     1  4.00     0 |   0     0 |   0     0     0    70M  282   664     0     0 
22.1%  633M  300M    0 | 384  2.47     0    46M|   2  2.19     1  3.43     0 |   0     0 |   0     0     0    46M  185   649     0     0 
24.1%  633M  300M    0 | 429  2.24     0    51M|   4  1.88     1  3.65     0 |   0     0 |   0     0     0    51M  206   707     0     0 
27.3%  633M  300M    0 | 501  1.86     0    61M|   3  1.70     3  3.23     0 |   0     0 |   0     0     0    61M  244   674     0     0 
25.6%  634M  300M    0 | 488  1.95     0    59M|   2  2.43     1  3.86     0 |   0     0 |   0     0     0    59M  238   653     0     0 
25.8%  634M  300M    0 | 439  2.15     0    53M|   3  1.93     1  3.81     0 |   0     0 |   0     0     0    53M  212   669     0     0 
25.5%  635M  300M    0 | 485  1.96     0    59M|   1  0.91     0     0     0 |   0     0 |   0     0     0    59M  238   682     0     0 
22.9%  635M  300M    0 | 442  2.17     0    53M|   3  1.89     1  3.70     0 |   0     0 |   0     0     0    53M  212   674     0     0 
26.4%  635M  300M    0 | 488  1.95     0    59M|   3  1.88     1  3.46     0 |   0     0 |   0     0     0    59M  238   647     0     0 
29.6%  637M  300M    0 | 439  2.17     0    53M|   3  2.53     1  4.97     0 |   0     0 |   0     0     0    53M  212   669     0     0 
44.1%  639M  295M    0 | 455  2.05     0    56M|   2  2.80     1  4.49     0 |   0     0 |   0     0     0    61M  246   676     0     0 
39.9%  640M  300M    0 | 470  2.01     0    55M|   3  1.95     1  3.78     0 |   0     0 |   0     0     0    51M  204   669     0     0 
49.6%  640M  300M    0 | 614  1.52     0    75M|   3  2.55     1  4.65     0 |   0     0 |   0     0     0    75M  300   622     0     0 
37.1%  641M  300M    0 | 402  2.36     0    48M|   3  1.88     1  3.64     0 |   0     0 |   0     0     0    48M  195   651     0     0 
21.7%  642M  304M    0 | 361  2.66     0    43M|   1  0.95     0     0     0 |   0     0 |   0     0     0    39M  156   685     0     0 
38.6%  644M  302M    0 | 397  2.40     0    47M|   3  1.80     3  3.45     0 |   0     0 |   0     0     0    49M  199   654     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
37.7%  644M  301M    0 | 667  1.38     0    81M|   2  2.39     1  3.68     0 |   0     0 |   0     0     0    83M  334   680     0     0 
15.9%  644M  283M    0 | 186  3.24     0    21M|   3  1.98     1  3.63     0 |   0     0 |   0     0     0    39M  157   694     0     0 
13.5%  644M  235M    0 |  14  0.40     0     0 |   3  2.02     1  3.84     0 |   0     0 |   0     0     0    47M  191   650     0     0 
17.5%  644M  158M    0 |  13  0.36     0     0 |   2  2.31     1  3.48     0 |   0     0 |   0     0     0    77M  308   690     0     0 
10.9%  644M  118M    0 |  14  0.42     0     0 |   3  1.96     1  3.79     0 |   0     0 |   0     0     0    40M  160   644     0     0 
17.8%  644M   40M    0 |  13  0.32     0     0 |   2  2.24     1  3.62     0 |   0     0 |   0     0     0    78M  314   685     0     0 
 6.3%  644M  256K    0 |  17   297     0     0 |   4  1.96     1  4.16     0 |   0     0 |   0     0     0    39M  159   635     0     0 
 1.5%  644M  256K    0 |  14  0.42     0     0 |   2  1.16     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.6%  644M  256K    0 |  13  0.36     0     0 |   1  0.84     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 2.0%  644M  256K    0 |  14  0.37     0     0 |   2  0.92     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.8%  644M  256K    0 |  14  0.52     0     0 |   2  1.12     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.8%  644M  256K    0 |  13  0.36     0     0 |   1  0.84     2  3.31     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.9%  644M  256K    0 |  14  0.39     0     0 |   2  1.06     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.4%  644M  256K    0 |  13  0.36     0     0 |   1  1.16     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.6%  644M  256K    0 |  14  0.46     0     0 |   2  1.25     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.8%  644M  256K    0 |  13  0.38     0     0 |   1  1.15     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.7%  644M  256K    0 |  14  0.37     0     0 |   3  1.33     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.9%  644M  256K    0 |  14  0.41     0     0 |   2  1.03     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.4%  644M  256K    0 |  13  0.35     0     0 |   1  0.98     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.6%  644M  256K    0 |  14  0.35     0     0 |   2  0.74     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.7%  644M  256K    0 |  13  0.37     0     0 |   1  0.93     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.6%  644M  256K    0 |  14  0.39     0     0 |   2  0.94     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.4%  644M  256K    0 |  14  0.30     0     0 |   2  0.93     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.9%  644M  256K    0 |  13  0.37     0     0 |   1  0.95     2  2.96     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.6%  644M  256K    0 |  14  0.42     0     0 |   2  1.15     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.9%  644M  256K    0 |  13  0.38     0     0 |   1  1.18     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 2.1%  644M  256K    0 |  14  0.42     0     0 |   3  1.41     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.5%  644M  256K    0 |  14  0.39     0     0 |   2  0.98     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.6%  644M  256K    0 |  13  0.34     0     0 |   1  1.05     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 1.1%  644M  256K    0 |  14  0.36     0     0 |   2  0.79     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
