---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0%  133M    0     0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 129%  463M  293M    0 |3039  0.15     0   376M|  11  0.88     6  2.58     0 |   0     0 |   0     0     0    83M  333   203     0     0 
58.4%  472M  299M    0 | 949  0.92     0   117M|   2  2.55     1  3.92     0 |   0     0 |   0     0     0   111M  447   261     0     0 
50.8%  472M  300M    0 | 912  0.98     0   112M|   4  2.24     4  3.24     0 |   0     0 |   0     0     0   111M  445   299     0     0 
49.2%  473M  298M    0 | 907  1.00     0   111M|   4  1.92     2  2.99     0 |   0     0 |   0     0     0   112M  450   356     0     0 
53.2%  473M  299M    0 | 906  0.96     0   112M|   2  2.26     1  3.69     0 |   0     0 |   0     0     0   111M  446   332     0     0 
53.1%  475M  299M    0 | 906  0.98     0   111M|   4  2.36     2  3.68     0 |   0     0 |   0     0     0   111M  448   335     0     0 
51.7%  475M  300M    0 | 909  0.99     0   112M|   3  2.89     2  3.81     0 |   0     0 |   0     0     0   111M  444   338     0     0 
56.5%  476M  299M    0 | 914  0.97     0   112M|   4  2.49     2  3.95     0 |   0     0 |   0     0     0   113M  453   323     0     0 
47.7%  476M  300M    0 | 908  1.00     0   111M|   4  1.48     1  3.09     0 |   0     0 |   0     0     0   110M  444   334     0     0 
47.5%  477M  300M    0 | 909  0.99     0   112M|   3  2.57     2  3.35     0 |   0     0 |   0     0     0   112M  447   342     0     0 
25.7%  480M  303M    0 | 366  2.61     0    44M|   3  2.00     1  4.02     0 |   0     0 |   0     0     0    41M  164   446     0     0 
33.5%  487M  301M    0 | 636  1.46     0    77M|   3  3.01     2  3.97     0 |   0     0 |   0     0     0    80M  320   899     0     0 
23.7%  491M  302M    0 | 366  2.61     0    44M|   3  2.28     1  4.44     0 |   0     0 |   0     0     0    42M  169   642     0     0 
24.7%  493M  300M    0 | 387  2.47     0    46M|   3  1.90     3  3.43     0 |   0     0 |   0     0     0    49M  196   668     0     0 
26.7%  494M  302M    0 | 563  1.71     0    68M|   2  2.21     1  3.42     0 |   0     0 |   0     0     0    66M  267   707     0     0 
18.4%  495M  303M    0 | 379  2.56     0    45M|   3  1.82     1  3.44     0 |   0     0 |   0     0     0    44M  177   616     0     0 
30.2%  496M  300M    0 | 623  1.49     0    76M|   2  2.15     1  3.34     0 |   0     0 |   0     0     0    79M  318   685     0     0 
20.7%  497M  302M    0 | 371  2.60     0    44M|   2  0.94     0     0     0 |   0     0 |   0     0     0    43M  173   630     0     0 
21.6%  500M  302M    0 | 366  2.64     0    44M|   4  1.94     1  3.99     0 |   0     0 |   0     0     0    43M  175   702     0     0 
24.3%  501M  300M    0 | 476  1.99     0    57M|   2  2.28     1  3.63     0 |   0     0 |   0     0     0    59M  239   729     0     0 
23.9%  502M  301M    0 | 492  1.95     0    59M|   3  1.66     1  3.31     0 |   0     0 |   0     0     0    58M  233   692     0     0 
20.1%  502M  305M    0 | 389  2.46     0    47M|   2  2.18     1  3.44     0 |   0     0 |   0     0     0    43M  173   557     0     0 
32.9%  505M  301M    0 | 613  1.54     0    74M|   3  2.08     1  4.11     0 |   0     0 |   0     0     0    79M  317   707     0     0 
19.9%  505M  303M    0 | 376  2.54     0    45M|   3  1.88     1  3.65     0 |   0     0 |   0     0     0    43M  174   644     0     0 
29.5%  506M  283M    0 | 496  1.92     0    59M|   2  2.37     1  3.88     0 |   0     0 |   0     0     0    78M  315   675     0     0 
23.4%  507M  301M    0 | 483  1.96     0    59M|   2  0.89     2  3.52     0 |   0     0 |   0     0     0    42M  169   675     0     0 
17.6%  507M  301M    0 | 336  2.86     0    40M|   2  2.25     1  3.43     0 |   0     0 |   0     0     0    40M  160   772     0     0 
29.7%  508M  301M    0 | 523  1.81     0    63M|   3  1.98     1  4.04     0 |   0     0 |   0     0     0    63M  255   677     0     0 
23.9%  509M  301M    0 | 407  2.34     0    49M|   4  1.78     1  3.73     0 |   0     0 |   0     0     0    48M  195   651     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
30.7%  512M  300M    0 | 620  1.50     0    75M|   2  2.49     1  3.34     0 |   0     0 |   0     0     0    76M  307   619     0     0 
26.1%  521M  303M    0 | 385  2.50     0    46M|   3  2.15     1  4.66     0 |   0     0 |   0     0     0    43M  175   683     0     0 
23.7%  525M  304M    0 | 375  2.58     0    45M|   1  1.09     0     0     0 |   0     0 |   0     0     0    43M  175   672     0     0 
40.7%  528M  301M    0 | 643  1.47     0    78M|   4  2.25     2  3.40     0 |   0     0 |   0     0     0    82M  329   665     0     0 
24.8%  529M  301M    0 | 364  2.66     0    43M|   2  1.03     0     0     0 |   0     0 |   0     0     0    43M  174   670     0     0 
23.7%  530M  303M    0 | 365  2.63     0    44M|   2  2.66     1  4.42     0 |   0     0 |   0     0     0    42M  169   677     0     0 
38.3%  532M  300M    0 | 625  1.49     0    76M|   3  1.89     1  3.69     0 |   0     0 |   0     0     0    79M  316   671     0     0 
19.6%  532M  302M    0 | 383  2.52     0    46M|   2  2.14     1  3.29     0 |   0     0 |   0     0     0    44M  177   623     0     0 
24.2%  534M  304M    0 | 355  2.72     0    42M|   3  1.86     3  3.26     0 |   0     0 |   0     0     0    41M  164   738     0     0 
36.1%  534M  284M    0 | 541  1.75     0    67M|   4  1.84     1  3.63     0 |   0     0 |   0     0     0    87M  348   683     0     0 
25.1%  535M  302M    0 | 492  1.92     0    58M|   2  2.37     1  3.78     0 |   0     0 |   0     0     0    41M  164   722     0     0 
19.2%  536M  303M    0 | 343  2.85     0    41M|   2  0.88     0     0     0 |   0     0 |   0     0     0    39M  158   699     0     0 
31.8%  537M  301M    0 | 576  1.61     0    70M|   2  2.63     1  4.27     0 |   0     0 |   0     0     0    73M  292   689     0     0 
18.6%  538M  303M    0 | 347  2.78     0    41M|   3  1.65     1  3.07     0 |   0     0 |   0     0     0    39M  158   661     0     0 
29.8%  538M  301M    0 | 586  1.59     0    71M|   3  1.85     1  3.61     0 |   0     0 |   0     0     0    73M  292   647     0     0 
20.3%  539M  303M    0 | 343  2.81     0    41M|   2  2.54     1  3.95     0 |   0     0 |   0     0     0    39M  158   720     0     0 
