label	item_round	raw_line
T38-A1	randwrite-T38-A1-r1	  WRITE: bw=3583MiB/s (3757MB/s), 3583MiB/s-3583MiB/s (3757MB/s-3757MB/s), io=630GiB (677GB), run=180084-180084msec
T38-A1	randwrite-T38-A1-r2	  WRITE: bw=3009MiB/s (3155MB/s), 3009MiB/s-3009MiB/s (3155MB/s-3155MB/s), io=529GiB (568GB), run=180113-180113msec
T38-A2	randwrite-T38-A2-r1	  WRITE: bw=2970MiB/s (3114MB/s), 2970MiB/s-2970MiB/s (3114MB/s-3114MB/s), io=522GiB (561GB), run=180058-180058msec
T38-A2	randwrite-T38-A2-r2	  WRITE: bw=2998MiB/s (3144MB/s), 2998MiB/s-2998MiB/s (3144MB/s-3144MB/s), io=527GiB (566GB), run=180049-180049msec
T38-B1	randwrite-T38-B1-r1	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180105-180105msec
T38-B1	randwrite-T38-B1-r2	  WRITE: bw=551MiB/s (577MB/s), 551MiB/s-551MiB/s (577MB/s-577MB/s), io=96.8GiB (104GB), run=180045-180045msec
T38-B2	randwrite-T38-B2-r1	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180105-180105msec
T38-B2	randwrite-T38-B2-r2	  WRITE: bw=551MiB/s (578MB/s), 551MiB/s-551MiB/s (578MB/s-578MB/s), io=96.9GiB (104GB), run=180017-180017msec
