---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0% 1299M 8192K    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
39.9% 1303M   43M    0 | 462  5.12  6784K    0 | 405  1.02     0     0     0 |   0     0 |6656K   53  36.6     0     0     0     0     0 
 128% 1304M  129M    0 | 586   175    56M    0 | 135  0.61     0     0     0 |   0     0 | 109M  745   233  1536K    6   154     0     0 
 167% 1307M  131M    0 | 493   248    50M    0 |  88  0.82     0     0     0 |   0     0 | 112M  737   308  8192K   32   157     0     0 
 166% 1308M  134M    0 | 492   242    50M    0 |  79  0.98     0     0     0 |   0     0 | 112M  744   287  9984K   39   162     0     0 
 161% 1310M  135M    0 | 513   241    53M    0 |  75  0.96     0     0     0 |   0     0 | 111M  743   294  6912K   27   189     0     0 
 151% 1311M  131M    0 | 501   228    52M    0 |  72  0.89     0     0     0 |   0     0 | 111M  747   294  5632K   22   230     0     0 
 146% 1313M  131M    0 | 486   263    50M    0 |  81  0.86     0     0     0 |   0     0 | 109M  732   314  6912K   27   118     0     0 
 138% 1314M  130M    0 | 500   258    52M    0 |  71  0.79     0     0     0 |   0     0 | 110M  751   304  5376K   21   183     0     0 
 167% 1315M  131M    0 | 516   244    53M    0 |  79  0.93     0     0     0 |   0     0 | 112M  755   286  6144K   24   174     0     0 
 167% 1318M  138M    0 | 498   263    52M    0 |  69  0.91     0     0     0 |   0     0 | 111M  737   300    10M   41   183     0     0 
 165% 1320M  133M    0 | 501   255    52M    0 |  74  0.85     2  3.57     0 |   0     0 | 111M  759   327  6912K   27   238     0     0 
 160% 1321M  131M    0 | 509   247    53M    0 |  72  0.83     0     0     0 |   0     0 | 111M  768   299  5376K   21   273     0     0 
 130% 1323M  138M    0 | 459   267    48M    0 |  61  0.72     0     0     0 |   0     0 | 108M  699   323    10M   41   151     0     0 
 133% 1326M  132M    0 | 497   258    51M    0 |  74  0.71     0     0     0 |   0     0 | 112M  753   327  8704K   34   191     0     0 
 163% 1326M  132M    0 | 455   286    46M    0 |  72  0.82     0     0     0 |   0     0 | 109M  701   348    14M   56   167     0     0 
 154% 1328M  130M    0 | 490   270    49M    0 |  80  0.83     0     0     0 |   0     0 | 111M  753   329  8448K   33   217     0     0 
 162% 1329M  129M    0 | 496   252    51M    0 |  70  0.82     0     0     0 |   0     0 | 112M  753   287  9472K   37   186     0     0 
 145% 1332M  133M    0 | 478   267    49M    0 |  75  0.74     0     0     0 |   0     0 | 109M  731   301    10M   42   121     0     0 
 136% 1333M  133M    0 | 495   263    50M    0 |  76  0.70     0     0     0 |   0     0 | 108M  735   307  9472K   37   120     0     0 
 151% 1337M  134M    0 | 503   250    52M    0 |  69  0.74     0     0     0 |   0     0 | 111M  752   290  8704K   34   145     0     0 
 159% 1340M  130M    0 | 501   271    51M    0 |  79  0.84     0     0     0 |   0     0 | 111M  744   346  7936K   31   262     0     0 
 162% 1340M  136M    0 | 486   259    50M    0 |  67  0.83     0     0     0 |   0     0 | 111M  741   291  9216K   36   145     0     0 
 168% 1343M  135M    0 | 489   241    50M    0 |  73  0.81     2  3.23     0 |   0     0 | 111M  739   287  9984K   39  66.7     0     0 
 179% 1345M  136M    0 | 492   269    50M    0 |  74  0.86     0     0     0 |   0     0 | 110M  737   316  9216K   36   142     0     0 
 133% 1345M  136M    0 | 492   264    50M    0 |  74  0.69     0     0     0 |   0     0 | 109M  733   325  8704K   34   242     0     0 
 162% 1346M  131M    0 | 482   265    49M    0 |  70  0.85     0     0     0 |   0     0 | 112M  746   334  7936K   30   109     0     0 
 162% 1346M  134M    0 | 514   260    53M    0 |  74  0.83     0     0     0 |   0     0 | 111M  757   313  6912K   28   117     0     0 
 164% 1346M  132M    0 | 486   274    50M    0 |  74  0.84     0     0     0 |   0     0 | 110M  729   341  9728K   38   183     0     0 
 160% 1346M  136M    0 | 484   233    50M    0 |  66  0.83     0     0     0 |   0     0 | 111M  743   274  9472K   37  92.7     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 146% 1346M  131M    0 | 481   265    49M    0 |  69  0.77     0     0     0 |   0     0 | 107M  725   327  7424K   29   267     0     0 
 141% 1347M  136M    0 | 462   270    47M    0 |  70  0.72     0     0     0 |   0     0 | 110M  723   309    13M   54  88.0     0     0 
 158% 1347M  130M    0 | 483   267    50M    0 |  66  0.84     0     0     0 |   0     0 | 112M  745   311  9984K   39   311     0     0 
 159% 1348M  130M    0 | 514   290    53M    0 |  76  0.79     0     0     0 |   0     0 | 111M  752   331  6400K   25   263     0     0 
 169% 1349M  133M    0 | 538   224    56M    0 |  77  0.84     2  3.42     0 |   0     0 | 112M  767   257  6912K   27   105     0     0 
 154% 1350M  132M    0 | 473   224    50M    0 |  59  0.76     0     0     0 |   0     0 | 110M  731   286  8960K   35   108     0     0 
 142% 1358M  138M    0 | 506   273    53M    0 |  69  0.74     0     0     0 |   0     0 | 110M  750   338  4864K   19   432     0     0 
 156% 1361M  132M    0 | 466   271    48M    0 |  66  0.80     0     0     0 |   0     0 | 111M  723   360    11M   47   133     0     0 
 162% 1362M  134M    0 | 473   293    49M    0 |  66  0.85     0     0     0 |   0     0 | 111M  740   344  8960K   35   171     0     0 
 168% 1363M  132M    0 | 522   243    53M    0 |  80  0.82     0     0     0 |   0     0 | 112M  764   284  8192K   32   184     0     0 
 159% 1364M  136M    0 | 468   274    49M    0 |  62  0.85     0     0     0 |   0     0 | 110M  724   306  7680K   30   176     0     0 
 141% 1365M  130M    0 | 504   256    50M    0 |  85  0.75     0     0     0 |   0     0 | 110M  726   312    11M   42   139     0     0 
 128% 1365M  129M    0 | 469   264    49M    0 |  63  0.68     0     0     0 |   0     0 | 109M  725   293  8960K   37   142     0     0 
 155% 1366M  135M    0 | 528   255    54M    0 |  80  0.82     0     0     0 |   0     0 | 111M  761   298  7680K   30   166     0     0 
 174% 1366M  129M    0 | 476   259    48M    0 |  73  0.85     0     0     0 |   0     0 | 111M  737   320  8448K   33   127     0     0 
 161% 1366M  134M    0 | 506   261    52M    0 |  72  0.83     0     0     0 |   0     0 | 111M  755   298  7680K   30   148     0     0 
 153% 1367M  131M    0 | 481   248    50M    0 |  68  0.84     0     0     0 |   0     0 | 111M  742   299  7424K   29   183     0     0 
 135% 1368M  136M    0 | 493   258    51M    0 |  66  0.70     2  3.01     0 |   0     0 | 109M  732   291  8192K   33   225     0     0 
 130% 1368M  132M    0 | 486   253    50M    0 |  69  0.66     0     0     0 |   0     0 | 110M  732   321  9472K   36   152     0     0 
 157% 1369M  134M    0 | 521   258    53M    0 |  77  0.82     0     0     0 |   0     0 | 111M  771   315  6912K   27   265     0     0 
 165% 1370M  132M    0 | 482   250    50M    0 |  64  0.82     0     0     0 |   0     0 | 112M  751   311  7936K   31   124     0     0 
 170% 1371M  132M    0 | 491   263    51M    0 |  69  0.84     0     0     0 |   0     0 | 112M  761   330  7680K   30   187     0     0 
 149% 1371M  130M    0 | 493   282    50M    0 |  75  0.79     0     0     0 |   0     0 | 109M  735   332  6400K   25   154     0     0 
 135% 1371M  133M    0 | 484   255    49M    0 |  73  0.70     0     0     0 |   0     0 | 109M  724   312  8960K   35   146     0     0 
 155% 1372M  134M    0 | 512   242    53M    0 |  67  0.83     0     0     0 |   0     0 | 112M  746   287  8448K   33   187     0     0 
 156% 1372M  134M    0 | 485   241    51M    0 |  62  0.84     0     0     0 |   0     0 | 111M  741   306  7936K   31   122     0     0 
 159% 1372M  131M    0 | 499   266    51M    0 |  73  0.83     0     0     0 |   0     0 | 112M  748   342  8704K   34   190     0     0 
 164% 1373M  136M    0 | 482   280    50M    0 |  66  0.82     0     0     0 |   0     0 | 110M  726   345  6656K   26   204     0     0 
 140% 1373M  135M    0 | 506   260    52M    0 |  76  0.72     0     0     0 |   0     0 | 110M  743   335  6912K   27   268     0     0 
 127% 1374M  130M    0 | 490   254    49M    0 |  78  0.67     2  2.96     0 |   0     0 | 108M  732   318    11M   47   229     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 152% 1374M  140M    0 | 483   267    50M    0 |  70  0.77     0     0     0 |   0     0 | 111M  747   328  9728K   39   126     0     0 
 161% 1374M  115M    0 | 523   245    50M    0 |  73  0.83     0     0     0 |   0     0 | 112M  753   342    10M   41   197     0     0 
