---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 180% 1554M   40M    0 |1003   129   111M    0 |  98  0.79    10  2.45     0 |   0     0 | 111M  895   144     0     0     0   123  78.2 
 175% 1554M   40M    0 |1006   130   111M    0 | 103  0.75    25  2.01     0 |   0     0 | 111M  892   146     0     0     0   111  92.3 
 144% 1555M   40M    0 | 981   128   109M    0 |  92  0.67     7  2.11     0 |   0     0 | 109M  874   143     0     0     0   151  66.4 
 179% 1555M   40M    0 |1014   128   112M    0 | 104  0.75    33  2.16     0 |   0     0 | 112M  902   144     0     0     0    95   105 
 183% 1555M   40M    0 |1005   125   112M    0 |  96  0.81     6  2.66     0 |   0     0 | 112M  898   139     0     0     0   113  90.1 
 180% 1555M   40M    0 |1012   123   112M    0 | 102  0.79     3  2.60     0 |   0     0 | 112M  900   139     0     0     0    94   101 
 189% 1555M   40M    0 |1006   128   111M    0 |  98  0.76    39  2.14     0 |   0     0 | 111M  893   143     0     0     0   114  89.0 
 177% 1555M   40M    0 | 997   129   111M    0 |  97  0.76     3  2.27     0 |   0     0 | 111M  889   144     0     0     0   114  87.8 
 143% 1555M   40M    0 |1005   126   110M    0 | 106  0.61    24  1.78     0 |   0     0 | 110M  881   143     0     0     0   120  78.9 
 171% 1555M   40M    0 |1008   132   112M    0 |  97  0.75    23  2.09     0 |   0     0 | 112M  902   148     0     0     0   133  79.1 
 232% 1524M   40M    0 |1015   124   112M    0 | 106  0.83    16  2.39     0 |   0     0 | 112M  898   141     0     0     0   119  82.6 
 175% 1524M   40M    0 | 999   125   111M    0 |  92  0.81    34  2.17     0 |   0     0 | 112M  895   139     0     0     0   117  82.0 
 181% 1524M   40M    0 |1002   128   111M    0 |  96  0.82     5  2.63     0 |   0     0 | 111M  894   143     0     0     0   107  89.8 
 166% 1525M   40M    0 | 991   130   109M    0 | 104  0.71    30  2.01     0 |   0     0 | 109M  877   147     0     0     0   134  73.6 
 162% 1525M   40M    0 |1005   124   111M    0 |  98  0.74     8  2.10     0 |   0     0 | 111M  894   139     0     0     0   117  81.3 
 179% 1525M   40M    0 |1014   128   112M    0 | 100  0.79    14  2.52     0 |   0     0 | 112M  900   143     0     0     0   131  75.4 
 178% 1525M   40M    0 |1000   125   111M    0 |  95  0.78    22  2.30     0 |   0     0 | 111M  897   140     0     0     0   124  82.8 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 178% 1525M   40M    0 |1016   126   112M    0 | 105  0.78     4  2.50     0 |   0     0 | 112M  897   143     0     0     0    85   111 
 173% 1525M   31M    0 |1067   126   111M    0 |  96  0.76    28  2.21     0 |   0     0 | 111M  890   151     0     0     0   112  91.2 
