---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0% 1216M 8192K    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 211% 1216M 8192K    0 | 271  1.50     0     0 | 260  1.54   696  2.15     0 |   0     0 |   0     0     0     0     0     0  4448  1.90 
 232% 1219M   43M    0 |1018   105    92M    0 | 667  1.53    26  2.39     0 |   0     0 | 107M  800   144    14M   57   119   249  37.4 
 194% 1219M   44M    0 | 905   137    94M    0 | 336  0.84     7  2.54     0 |   0     0 | 110M  825   164    14M   57   122   100   100 
 173% 1219M   45M    0 | 847   149    90M    0 | 238  0.72    31  1.88     0 |   0     0 | 109M  800   172    18M   72  72.1    98  94.4 
 147% 1220M   44M    0 | 868   148    95M    0 | 170  0.65    16  1.99     0 |   0     0 | 108M  818   169    15M   60   105   106  96.8 
 179% 1221M   44M    0 | 878   139    97M    0 | 174  0.80     5  2.53     0 |   0     0 | 111M  831   160    13M   54  87.3   104  94.1 
 187% 1223M   44M    0 | 858   146    93M    0 | 142  0.84    22  2.47     0 |   0     0 | 111M  817   167    18M   72  75.4    96   108 
 176% 1224M   44M    0 | 868   148    94M    0 | 123  0.83     7  2.50     0 |   0     0 | 109M  816   170    14M   59  68.5   109  84.0 
 161% 1225M   45M    0 | 838   149    92M    0 | 105  0.78     3  2.45     0 |   0     0 | 109M  807   168    16M   64  97.7    83   131 
 148% 1228M   45M    0 | 871   147    94M    0 | 119  0.67    46  1.79     0 |   0     0 | 109M  819   169    15M   60  72.8   101  98.2 
 154% 1229M   46M    0 | 873   147    94M    0 | 113  0.69     6  2.03     0 |   0     0 | 110M  822   170    14M   58  79.5   116  74.7 
 174% 1232M   46M    0 | 832   156    90M    0 | 102  0.82    17  2.29     0 |   0     0 | 109M  796   176    18M   75   106   129  83.0 
 186% 1235M   45M    0 | 885   146    97M    0 |  99  0.83    34  2.31     0 |   0     0 | 111M  836   168    14M   58   129   136  78.1 
 174% 1238M   45M    0 | 830   150    90M    0 |  99  0.79     5  2.56     0 |   0     0 | 109M  801   169    19M   75   121   111  84.8 
 171% 1242M   44M    0 | 872   146    96M    0 |  96  0.77    27  2.15     0 |   0     0 | 110M  826   168    15M   60  92.0    90   115 
 135% 1244M   44M    0 | 879   143    96M    0 |  97  0.65     5  2.36     0 |   0     0 | 107M  815   167    11M   44  71.8   101  95.5 
 167% 1247M   44M    0 | 881   150    97M    0 |  86  0.76    10  2.40     0 |   0     0 | 111M  834   171    14M   56  91.7   138  69.8 
 190% 1251M   44M    0 | 870   148    94M    0 | 101  0.82    33  2.35     0 |   0     0 | 110M  826   171    16M   65   102   104  98.2 
 178% 1253M   45M    0 | 883   140    96M    0 |  96  0.78     5  2.50     0 |   0     0 | 111M  836   158    13M   55  89.0   105  90.3 
 178% 1256M   46M    0 | 875   148    95M    0 |  97  0.80    16  2.28     0 |   0     0 | 110M  824   171    14M   59   103   108  88.7 
 154% 1257M   47M    0 | 834   152    91M    0 |  92  0.72    21  2.13     0 |   0     0 | 108M  804   173    16M   64   102   139  74.2 
 143% 1260M   46M    0 | 876   144    96M    0 |  91  0.67     8  2.05     0 |   0     0 | 108M  817   166    13M   54   169    94   115 
 181% 1265M   46M    0 | 842   145    92M    0 |  94  0.77    27  2.25     0 |   0     0 | 109M  808   164    17M   67   114   108  82.8 
 176% 1268M   46M    0 | 841   159    91M    0 |  94  0.83     3  2.48     0 |   0     0 | 110M  809   180    17M   72   107   108   105 
 176% 1273M   46M    0 | 890   147    98M    0 |  91  0.78    10  2.52     0 |   0     0 | 111M  841   167    12M   51  56.6   103  79.4 
 178% 1276M   46M    0 | 861   148    94M    0 |  99  0.77    61  2.19     0 |   0     0 | 109M  812   171    15M   62   110   131  82.4 
 153% 1280M   46M    0 | 853   151    91M    0 | 103  0.68     4  2.18     0 |   0     0 | 109M  806   173    17M   68   125   108  95.9 
 156% 1283M   45M    0 | 870   144    96M    0 |  84  0.72    16  2.22     0 |   0     0 | 110M  828   164    14M   56  80.6    99  83.3 
 179% 1289M   45M    0 | 849   151    92M    0 |  97  0.79    26  2.22     0 |   0     0 | 110M  812   171    18M   72  87.9   115   103 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 179% 1297M   45M    0 | 864   153    93M    0 | 102  0.81     3  2.77     0 |   0     0 | 110M  819   176    16M   67  68.1    98   102 
 180% 1299M   45M    0 | 871   145    95M    0 |  94  0.81    20  2.29     0 |   0     0 | 111M  828   165    15M   61  83.0    78   103 
