---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0% 1521M 8192K    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 246% 1539M   33M    0 | 478  8.86     9M    0 | 386  1.13   612  2.09     0 |   0     0 |   9M   79  46.3     0     0     0  4134  2.00 
 187% 1540M   40M    0 |1041   113   112M    0 | 129  0.75    28  2.17     0 |   0     0 | 112M  897   131     0     0     0   111  84.8 
 168% 1542M   40M    0 |1029   126   111M    0 | 128  0.73    16  2.25     0 |   0     0 | 111M  893   145     0     0     0   125  78.5 
 171% 1542M   40M    0 | 996   125   110M    0 |  97  0.71    26  2.16     0 |   0     0 | 110M  888   140     0     0     0   135  77.3 
 144% 1543M   40M    0 | 977   126   109M    0 |  86  0.67     8  2.09     0 |   0     0 | 109M  879   140     0     0     0   119  78.3 
 184% 1544M   40M    0 |1011   128   111M    0 | 101  0.76    36  2.38     0 |   0     0 | 111M  895   144     0     0     0   102  91.6 
 184% 1544M   40M    0 |1010   122   112M    0 | 100  0.81    34  2.27     0 |   0     0 | 112M  900   137     0     0     0   122  84.6 
 178% 1545M   40M    0 |1006   128   112M    0 |  99  0.80     7  2.31     0 |   0     0 | 112M  895   143     0     0     0    99  93.0 
 181% 1545M   40M    0 |1006   128   111M    0 | 102  0.77    38  2.28     0 |   0     0 | 111M  894   144     0     0     0   129  90.4 
 153% 1545M   40M    0 | 986   130   109M    0 |  95  0.72    10  2.15     0 |   0     0 | 109M  876   146     0     0     0   136  71.6 
 154% 1546M   40M    0 | 999   126   111M    0 |  98  0.65    40  1.92     0 |   0     0 | 111M  890   142     0     0     0   119  87.9 
 186% 1547M   40M    0 |1015   125   112M    0 | 105  0.78    13  2.22     0 |   0     0 | 112M  899   141     0     0     0   116  82.2 
 184% 1547M   40M    0 |1014   129   112M    0 | 103  0.83     2  2.70     0 |   0     0 | 112M  899   144     0     0     0    81   123 
 186% 1547M   40M    0 |1005   126   112M    0 |  99  0.81    37  2.22     0 |   0     0 | 112M  895   142     0     0     0   115  86.3 
 171% 1547M   40M    0 |1006   126   111M    0 | 101  0.73    15  2.00     0 |   0     0 | 111M  892   142     0     0     0   119  83.8 
 149% 1547M   40M    0 | 978   127   108M    0 |  95  0.67    20  1.91     0 |   0     0 | 108M  872   142     0     0     0   116  74.0 
 160% 1547M   40M    0 |1010   132   112M    0 |  98  0.68    19  2.02     0 |   0     0 | 112M  901   147     0     0     0   128  89.5 
 184% 1547M   40M    0 |1013   124   112M    0 | 100  0.81     5  2.71     0 |   0     0 | 112M  898   139     0     0     0   123  78.3 
 185% 1547M   40M    0 |1015   127   112M    0 | 105  0.79    27  2.32     0 |   0     0 | 112M  899   143     0     0     0   119  84.1 
 176% 1547M   40M    0 | 998   125   111M    0 |  94  0.75     8  2.73     0 |   0     0 | 111M  894   139     0     0     0   125  70.4 
 168% 1547M   40M    0 | 997   129   111M    0 |  97  0.73    33  2.01     0 |   0     0 | 110M  886   145     0     0     0   142  65.1 
 148% 1548M   40M    0 | 994   132   109M    0 | 104  0.68     5  2.23     0 |   0     0 | 109M  878   149     0     0     0   119  88.9 
 185% 1548M   40M    0 |1013   125   112M    0 | 107  0.77    34  2.19     0 |   0     0 | 112M  899   141     0     0     0   107  89.8 
 187% 1548M   40M    0 |1015   125   112M    0 | 100  0.83    10  2.47     0 |   0     0 | 112M  900   141     0     0     0   139  84.5 
 185% 1548M   40M    0 |1007   127   112M    0 | 100  0.80    23  2.41     0 |   0     0 | 111M  896   143     0     0     0   161  62.4 
 177% 1548M   40M    0 |1003   129   111M    0 |  97  0.75    36  2.15     0 |   0     0 | 111M  895   145     0     0     0   130  77.5 
 158% 1548M   40M    0 | 984   126   109M    0 |  95  0.71     6  2.15     0 |   0     0 | 109M  875   141     0     0     0   124  78.5 
 156% 1548M   40M    0 |1002   127   111M    0 | 101  0.69    29  2.03     0 |   0     0 | 111M  890   142     0     0     0    87   118 
 189% 1548M   40M    0 |1022   129   112M    0 | 106  0.81    41  2.21     0 |   0     0 | 112M  902   145     0     0     0   122  78.0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 188% 1548M   40M    0 |1009   128   112M    0 |  99  0.82     7  2.39     0 |   0     0 | 112M  899   143     0     0     0   143  70.3 
 189% 1548M   39M    0 |1004   131   112M    0 |  97  0.79    30  2.20     0 |   0     0 | 112M  897   147     0     0     0   107  86.7 
 172% 1548M   40M    0 |1010   124   111M    0 | 101  0.78     9  2.46     0 |   0     0 | 111M  895   139     0     0     0   108  97.7 
 151% 1548M   40M    0 | 973   131   108M    0 |  97  0.68    32  1.86     0 |   0     0 | 108M  867   147     0     0     0   116  88.3 
 170% 1548M   40M    0 |1022   128   112M    0 | 110  0.75    12  2.23     0 |   0     0 | 112M  898   145     0     0     0   122  77.8 
 190% 1548M   40M    0 |1011   127   112M    0 | 102  0.81    15  2.50     0 |   0     0 | 112M  899   143     0     0     0   151  69.1 
 182% 1548M   40M    0 |1001   120   111M    0 |  92  0.80     8  2.63     0 |   0     0 | 111M  896   134     0     0     0   143  66.8 
 175% 1548M   40M    0 |1016   128   112M    0 | 107  0.75    21  2.19     0 |   0     0 | 112M  897   144     0     0     0   127  74.0 
 176% 1548M   40M    0 | 994   125   111M    0 |  89  0.78     9  2.29     0 |   0     0 | 111M  893   139     0     0     0   143  70.8 
 144% 1548M   40M    0 | 987   131   109M    0 | 103  0.66    16  1.86     0 |   0     0 | 109M  872   148     0     0     0   111  88.2 
 175% 1548M   40M    0 |1010   128   112M    0 | 100  0.76    19  1.98     0 |   0     0 | 112M  902   144     0     0     0   119  84.3 
 186% 1548M   40M    0 |1009   124   112M    0 |  96  0.80    10  2.59     0 |   0     0 | 112M  899   138     0     0     0   124  83.7 
 188% 1548M   40M    0 |1017   128   112M    0 | 106  0.78    20  2.28     0 |   0     0 | 112M  897   144     0     0     0   144  65.2 
 173% 1548M   40M    0 |1003   129   111M    0 |  97  0.78     6  2.33     0 |   0     0 | 111M  892   144     0     0     0   147  70.4 
 164% 1548M   40M    0 | 995   125   110M    0 | 101  0.71    21  2.38     0 |   0     0 | 110M  884   141     0     0     0   122  80.7 
 143% 1548M   40M    0 | 991   130   110M    0 |  98  0.65     9  1.85     0 |   0     0 | 110M  882   146     0     0     0   135  73.6 
 193% 1548M   40M    0 |1008   126   112M    0 |  97  0.81    66  2.35     0 |   0     0 | 112M  900   140     0     0     0   146  69.6 
 188% 1548M   40M    0 |1015   129   112M    0 | 102  0.86     4  2.82     0 |   0     0 | 112M  899   146     0     0     0   104  98.6 
 172% 1548M   40M    0 |1006   122   111M    0 | 101  0.80    18  2.24     0 |   0     0 | 111M  892   138     0     0     0   105  91.7 
 180% 1548M   40M    0 |1009   130   112M    0 |  98  0.78    55  2.26     0 |   0     0 | 112M  901   145     0     0     0   140  74.4 
 144% 1548M   40M    0 | 981   126   109M    0 |  95  0.69     3  2.65     0 |   0     0 | 109M  874   141     0     0     0    94  97.1 
 163% 1548M   40M    0 |1017   129   111M    0 | 109  0.66    20  2.01     0 |   0     0 | 111M  893   146     0     0     0   118  79.3 
 184% 1548M   40M    0 |1015   125   112M    0 | 102  0.80    20  2.20     0 |   0     0 | 112M  901   141     0     0     0   147  73.4 
 181% 1548M   40M    0 |1000   128   111M    0 |  96  0.81    13  2.34     0 |   0     0 | 111M  898   142     0     0     0   177  60.5 
 186% 1548M   40M    0 |1012   123   112M    0 | 101  0.74    44  2.11     0 |   0     0 | 112M  897   139     0     0     0    95  93.4 
 181% 1548M   40M    0 |1008   128   111M    0 | 103  0.75     5  2.67     0 |   0     0 | 111M  893   144     0     0     0   123  75.3 
 141% 1548M   40M    0 | 986   132   109M    0 | 100  0.63    21  1.85     0 |   0     0 | 109M  872   149     0     0     0   125  83.8 
 171% 1548M   40M    0 |1010   128   112M    0 |  98  0.72    29  2.22     0 |   0     0 | 112M  899   144     0     0     0    98   101 
 184% 1548M   40M    0 | 999   123   112M    0 |  91  0.80    10  2.37     0 |   0     0 | 112M  900   137     0     0     0   130  72.5 
 188% 1548M   40M    0 |1020   128   112M    0 | 111  0.80    18  2.22     0 |   0     0 | 112M  896   146     0     0     0   148  75.3 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 183% 1548M   40M    0 |1006   127   111M    0 |  97  0.77     8  2.41     0 |   0     0 | 111M  897   142     0     0     0   127  74.2 
 167% 1548M   27M    0 |1086   124   110M    0 |  90  0.76     7  2.49     0 |   0     0 | 110M  884   153     0     0     0   140  76.6 
