---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0% 1285M 8192K    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
45.7% 1286M   52M    0 | 492  9.28    10M    0 | 409  1.04     0     0     0 |   0     0 |  11M   88  52.8     0     0     0     0     0 
 144% 1286M  140M    0 | 558   189    53M    0 | 133  0.69     0     0     0 |   0     0 | 109M  738   252  2560K   10   227     0     0 
 152% 1286M  152M    0 | 503   244    51M    0 |  95  0.77     0     0     0 |   0     0 | 112M  742   302  7680K   30   193     0     0 
 167% 1286M  154M    0 | 510   240    52M    0 |  82  0.81     0     0     0 |   0     0 | 111M  747   293  7680K   30   179     0     0 
 164% 1287M  153M    0 | 501   251    51M    0 |  82  0.84     0     0     0 |   0     0 | 111M  741   305  8448K   33   113     0     0 
 164% 1287M  146M    0 | 495   222    52M    0 |  70  0.82     0     0     0 |   0     0 | 112M  752   280  6144K   24   161     0     0 
 139% 1287M  149M    0 | 501   276    51M    0 |  81  0.72     2  2.77     0 |   0     0 | 110M  737   331  8704K   34   222     0     0 
 132% 1287M  151M    0 | 468   258    48M    0 |  68  0.69     0     0     0 |   0     0 | 109M  725   298  7680K   30   106     0     0 
 159% 1287M  153M    0 | 517   248    53M    0 |  81  0.81     0     0     0 |   0     0 | 111M  755   295  8960K   35   209     0     0 
 171% 1287M  150M    0 | 486   263    50M    0 |  70  0.83     0     0     0 |   0     0 | 111M  738   316    10M   41   241     0     0 
 164% 1287M  151M    0 | 508   255    52M    0 |  79  0.83     0     0     0 |   0     0 | 111M  757   322  4352K   17   265     0     0 
 160% 1287M  152M    0 | 511   244    53M    0 |  74  0.81     0     0     0 |   0     0 | 110M  761   294  6144K   25   190     0     0 
 141% 1287M  147M    0 | 474   256    49M    0 |  67  0.76     0     0     0 |   0     0 | 109M  722   313  9984K   38   110     0     0 
