---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0%  489M 9216K    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
 191%  495M   52M    0 | 829  0.66   384K   37M| 594  0.91   598  1.88     0 |   0     0 |8704K   60  7.72    13M   53  14.9  3637  2.37 
 210%  496M   55M    0 | 998   109    59M   49M| 624  1.89   298  3.01     0 |   0     0 |  72M  524   184    83M  334   149    71   134 
 256%  498M   51M    0 |1410  91.3    78M   73M| 784  1.71   307  3.02     0 |   0     0 |  93M  686   163    91M  363   123    97   103 
 260%  498M   51M    0 |1341  94.8    77M   66M| 719  1.66   283  2.98     0 |   0     0 |  92M  685   168    82M  330   110    90   115 
 214%  500M   52M    0 |1393  93.3    70M   79M| 746  1.59   362  2.52     0 |   0     0 |  86M  633   191    93M  374   126    95   108 
 188%  503M   53M    0 |1329  93.2    73M   69M| 724  1.32   282  2.32     0 |   0     0 |  87M  650   165    81M  327   125    78   113 
 232%  505M   52M    0 |1453  86.9    79M   77M| 795  1.64   324  2.83     0 |   0     0 |  90M  687   170    89M  357  94.3   110  95.2 
 233%  506M   55M    0 |1381  88.7    77M   71M| 730  1.61   303  2.85     0 |   0     0 |  88M  674   164    80M  321  99.7    78   119 
 221%  507M   54M    0 |1442  93.0    73M   83M| 779  1.65   339  2.67     0 |   0     0 |  84M  633   195    94M  375   118   100   106 
 252%  509M   54M    0 |1361  93.2    72M   74M| 746  1.76   316  2.97     0 |   0     0 |  87M  644   178    90M  364   114    81   103 
 203%  510M   50M    0 |1360  97.4    74M   72M| 753  1.46   308  2.47     0 |   0     0 |  88M  671   176    91M  364   128    78   147 
 195%  510M   50M    0 |1341  91.4    75M   68M| 719  1.41   324  2.38     0 |   0     0 |  88M  674   159    80M  323   128    96   104 
 254%  510M   52M    0 |1547  87.5    79M   86M| 826  1.73   330  3.01     0 |   0     0 |  93M  714   172    98M  392   104   109  95.8 
 246%  504M   55M    0 |1419  88.5    78M   74M| 756  2.22   315  3.58     0 |   0     0 |  88M  684   165    81M  325   107    83   106 
 227%  499M   53M    0 |1430  91.0    76M   79M| 771  1.74   361  2.78     0 |   0     0 |  87M  668   174    92M  369   115    94   107 
 232%  500M   51M    0 |1370  91.1    78M   69M| 764  1.67   298  2.89     0 |   0     0 |  92M  691   166    86M  345   104   100   101 
 197%  500M   51M    0 |1344  88.8    74M   70M| 729  1.35   284  2.40     0 |   0     0 |  89M  661   167    86M  345   119    83   131 
 202%  500M   56M    0 |1375   100    77M   70M| 720  1.41   296  2.49     0 |   0     0 |  91M  676   179    80M  324   112    93   103 
 270%  500M   56M    0 |1367  92.2    74M   71M| 744  1.80   330  3.06     0 |   0     0 |  90M  666   174    86M  346   111    84   109 
 236%  500M   56M    0 |1342  93.9    71M   74M| 714  1.89   300  3.01     0 |   0     0 |  85M  636   178    88M  354   125    83   122 
 226%  500M   55M    0 |1435  90.9    76M   78M| 782  1.66   315  2.84     0 |   0     0 |  89M  668   177    92M  371   114    81   124 
 222%  500M   52M    0 |1354  94.2    73M   73M| 750  1.65   316  2.75     0 |   0     0 |  86M  646   178    89M  357   133    93   115 
 193%  500M   53M    0 |1447  86.9    74M   82M| 770  1.40   336  2.28     0 |   0     0 |  87M  650   172    94M  377   124   104  95.9 
 240%  501M   55M    0 |1329  96.3    74M   70M| 701  1.67   279  2.81     0 |   0     0 |  88M  651   176    82M  327   112    95  97.7 
 243%  501M   51M    0 |1355  93.1    71M   74M| 759  1.82   319  3.05     0 |   0     0 |  87M  639   181    94M  385   123    91   114 
 237%  501M   50M    0 |1339  98.6    71M   72M| 731  1.72   317  2.92     0 |   0     0 |  85M  627   192    87M  344   113    98   102 
 231%  501M   52M    0 |1371  93.4    77M   70M| 734  1.67   284  2.88     0 |   0     0 |  89M  670   174    81M  327   118    88   108 
 212%  501M   52M    0 |1423  90.7    75M   76M| 757  1.43   301  2.50     0 |   0     0 |  90M  667   170    90M  362   129   105   102 
 218%  501M   48M    0 |1385  90.0    76M   72M| 780  1.40   344  2.38     0 |   0     0 |  90M  680   163    89M  360   118   100   101 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 226%  501M   55M    0 |1385  88.4    77M   73M| 688  1.73   281  2.89     0 |   0     0 |  88M  672   169    76M  306   103    98  96.9 
 255%  501M   53M    0 |1466  90.3    78M   79M| 787  1.80   323  3.14     0 |   0     0 |  88M  673   174    91M  367   108    82   112 
 249%  501M   53M    0 |1449  87.7    78M   79M| 796  1.74   337  2.91     0 |   0     0 |  92M  701   166    93M  375   111    91   117 
