---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0% 1375M 8192K    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
50.1% 1375M   49M    0 | 796  1.19  1536K   39M| 499  1.33    39  2.72     0 |   0     0 |2048K   14  28.0    10M   42  43.6     0     0 
 160% 1375M  116M    0 | 735   135    42M   35M| 390  1.66   230  2.30     0 |   0     0 |  84M  562   228    61M  247   189     0     0 
 221% 1376M  149M    0 | 897   141    48M   44M| 459  1.78   172  3.19     0 |   0     0 | 103M  682   269    51M  205   209     0     0 
 215% 1376M  153M    0 | 815   157    47M   37M| 459  1.78   164  3.26     0 |   0     0 | 103M  695   274    49M  196   208     0     0 
 220% 1376M  152M    0 | 893   132    47M   46M| 467  1.84   173  3.24     0 |   0     0 | 102M  676   258    53M  212   175     0     0 
 209% 1376M  155M    0 | 925   130    45M   53M| 504  1.69   209  2.80     0 |   0     0 |  98M  659   277    60M  242   206     0     0 
 163% 1376M  152M    0 | 812   167    44M   39M| 469  1.32   169  2.39     0 |   0     0 | 101M  655   319    53M  212   196     0     0 
 249%  808M  147M    0 | 872   135    46M   45M| 476  1.54   183  2.66     0 |   0     0 |  99M  674   261    53M  213   149     0     0 
 207%  808M  146M    0 | 806   154    42M   42M| 440  1.82   170  3.14     0 |   0     0 | 100M  661   305    54M  217   159     0     0 
 214%  808M  150M    0 | 818   170    46M   39M| 468  1.74   171  3.13     0 |   0     0 | 102M  676   302    55M  223   179     0     0 
 221%  808M  154M    0 | 958   132    44M   56M| 506  1.88   204  3.15     0 |   0     0 | 100M  651   292    60M  241   135     0     0 
 185%  808M  147M    0 | 830   148    45M   41M| 457  1.50   163  2.72     0 |   0     0 | 100M  660   293    49M  197   173     0     0 
 166%  808M  148M    0 | 874   149    45M   46M| 488  1.37   191  2.35     0 |   0     0 |  98M  652   303    53M  213   181     0     0 
 196%  808M  153M    0 | 904   140    48M   47M| 485  1.58   183  2.76     0 |   0     0 | 102M  693   267    52M  211   187     0     0 
 220%  808M  149M    0 | 821   153    45M   40M| 468  1.84   185  3.13     0 |   0     0 | 102M  675   284    54M  215   142     0     0 
 214%  808M  152M    0 | 890   152    42M   50M| 485  1.86   195  3.14     0 |   0     0 |  97M  646   301    59M  238   160     0     0 
 208%  808M  147M    0 | 830   155    48M   38M| 467  1.73   164  3.10     0 |   0     0 | 104M  696   274    50M  203   164     0     0 
 199%  808M  153M    0 | 885   142    49M   44M| 432  1.52   153  2.78     0 |   0     0 | 103M  680   268    47M  191   161     0     0 
 179%  808M  153M    0 | 842   148    44M   43M| 466  1.47   181  2.54     0 |   0     0 | 101M  661   300    54M  218   184     0     0 
 217%  808M  153M    0 | 853   144    47M   42M| 462  1.78   170  3.07     0 |   0     0 | 103M  692   278    53M  213   120     0     0 
 203%  808M  147M    0 | 783   163    43M   38M| 399  1.70   143  3.17     0 |   0     0 | 100M  668   314    46M  184   166     0     0 
 219%  808M  151M    0 | 901   147    45M   49M| 488  1.83   196  3.17     0 |   0     0 | 100M  657   279    59M  239   163     0     0 
 199%  808M  148M    0 | 841   139    45M   42M| 471  1.64   180  2.82     0 |   0     0 | 100M  668   278    52M  211   157     0     0 
 171%  808M  149M    0 | 858   155    46M   43M| 480  1.38   181  2.44     0 |   0     0 |  98M  667   300    53M  211   182     0     0 
 193%  808M  152M    0 | 909   135    46M   51M| 456  1.61   190  2.73     0 |   0     0 |  99M  664   280    53M  214   149     0     0 
 251%  784M  150M    0 | 860   166    48M   41M| 481  1.84   167  3.29     0 |   0     0 | 103M  692   316    48M  191   189     0     0 
 209%  784M  146M    0 | 838   139    44M   44M| 474  1.79   189  3.02     0 |   0     0 |  98M  650   272    54M  219   191     0     0 
 211%  784M  153M    0 | 849   159    44M   43M| 460  1.78   174  3.10     0 |   0     0 |  97M  660   297    51M  206   169     0     0 
 185%  784M  149M    0 | 862   154    45M   45M| 477  1.58   191  2.65     0 |   0     0 |  97M  656   308    58M  234   158     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 172%  784M  149M    0 | 830   149    41M   45M| 446  1.34   172  2.32     0 |   0     0 |  98M  634   318    54M  217   160     0     0 
 201%  784M  149M    0 | 861   155    43M   47M| 470  1.74   191  2.86     0 |   0     0 | 100M  653   308    62M  251   181     0     0 
 225%  784M  145M    0 | 862   139    48M   42M| 468  1.75   172  3.12     0 |   0     0 | 105M  700   260    53M  212   124     0     0 
 208%  784M  152M    0 | 852   142    42M   47M| 435  1.89   180  3.13     0 |   0     0 |  98M  643   288    54M  219   155     0     0 
 209%  784M  149M    0 | 878   159    44M   48M| 505  1.83   200  3.03     0 |   0     0 |  98M  642   321    63M  252   204     0     0 
 176%  784M  154M    0 | 905   140    43M   53M| 498  1.51   213  2.48     0 |   0     0 |  97M  646   301    62M  250   145     0     0 
 158%  784M  145M    0 | 813   147    44M   40M| 452  1.31   165  2.36     0 |   0     0 | 100M  658   282    51M  205   201     0     0 
 203%  784M  155M    0 | 891   151    46M   47M| 482  1.66   185  2.88     0 |   0     0 | 101M  680   291    55M  219   186     0     0 
 211%  784M  156M    0 | 880   146    45M   48M| 460  1.85   182  3.14     0 |   0     0 |  98M  655   317    54M  219   197     0     0 
 203%  784M  156M    0 | 815   152    42M   42M| 429  1.74   161  3.09     0 |   0     0 |  99M  653   310    51M  207   138     0     0 
 195%  784M  144M    0 | 780   159    45M   37M| 452  1.70   177  2.91     0 |   0     0 |  99M  659   305    52M  209   181     0     0 
 173%  784M  154M    0 | 913   137    46M   49M| 481  1.35   178  2.41     0 |   0     0 | 102M  683   298    51M  205   158     0     0 
 177%  784M  150M    0 | 887   145    47M   46M| 483  1.45   185  2.50     0 |   0     0 | 102M  673   287    54M  215   198     0     0 
 243%  784M  151M    0 | 879   157    47M   45M| 485  1.78   184  3.15     0 |   0     0 | 104M  685   299    55M  220   166     0     0 
 215%  784M  146M    0 | 838   140    45M   43M| 458  1.83   174  3.12     0 |   0     0 | 102M  672   258    51M  207   178     0     0 
 213%  784M  151M    0 | 929   145    43M   55M| 481  1.91   208  3.11     0 |   0     0 |  95M  638   292    59M  239   152     0     0 
 188%  784M  148M    0 | 798   155    43M   39M| 456  1.54   175  2.69     0 |   0     0 |  98M  646   267    55M  221   177     0     0 
 173%  784M  145M    0 | 857   143    47M   42M| 465  1.31   170  2.37     0 |   0     0 | 101M  685   257    50M  202   183     0     0 
 188%  784M  151M    0 | 877   158    45M   46M| 453  1.50   172  2.70     0 |   0     0 | 100M  666   304    50M  200   156     0     0 
 220%  784M  151M    0 | 897   147    44M   50M| 511  1.82   210  3.07     0 |   0     0 | 101M  657   300    63M  253   178     0     0 
 229%  784M  154M    0 | 928   142    52M   45M| 505  1.75   183  3.15     0 |   0     0 | 104M  717   268    52M  210   161     0     0 
 207%  784M  146M    0 | 837   131    46M   42M| 454  1.66   170  3.00     0 |   0     0 | 105M  701   269    50M  201   150     0     0 
 173%  784M  150M    0 | 866   157    46M   44M| 467  1.34   175  2.45     0 |   0     0 | 101M  678   308    51M  205   151     0     0 
 160%  784M  148M    0 | 819   158    46M   39M| 455  1.35   164  2.39     0 |   0     0 | 100M  666   283    48M  193   185     0     0 
 193%  784M  153M    0 | 846   150    48M   40M| 448  1.59   160  2.83     0 |   0     0 | 103M  710   275    47M  190   170     0     0 
 224%  784M  153M    0 | 978   134    48M   54M| 511  1.87   202  3.16     0 |   0     0 | 101M  689   288    55M  222   173     0     0 
 214%  784M  151M    0 | 891   149    45M   48M| 533  1.84   215  3.10     0 |   0     0 |  99M  659   319    62M  249   193     0     0 
 186%  784M  147M    0 | 840   144    45M   43M| 443  1.50   167  2.71     0 |   0     0 |  99M  662   276    49M  196   154     0     0 
 167%  784M  148M    0 | 817   149    41M   45M| 446  1.49   183  2.40     0 |   0     0 |  98M  631   294    58M  233   150     0     0 
 205%  784M  151M    0 | 888   166    45M   49M| 481  1.52   193  2.66     0 |   0     0 |  96M  634   320    61M  245   188     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 217%  784M  149M    0 | 844   146    43M   45M| 460  1.89   177  3.10     0 |   0     0 |  99M  649   281    54M  216   177     0     0 
 215%  784M  132M    0 | 838   152    46M   39M| 438  1.94   184  3.17     0 |   0     0 |  99M  654   287    53M  212   165     0     0 
