------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
63.9% 1190M  599M| 911  17.4     0   112M|   4  2.36 |   0     0 |   0   111M
67.9% 1190M  599M| 905  17.5     0   111M|   7  3.46 |   0     0 |   0   112M
63.8% 1190M  596M| 885  17.2     0   108M|   2  0.99 |   0     0 |   0   111M
59.1% 1190M  598M| 932  17.6     0   114M|   9  2.63 |   0     0 |   0   112M
56.8% 1190M  598M| 906  16.9     0   111M|   3  2.68 |   0     0 |   0   111M
65.1% 1190M  598M| 898  17.7     0   110M|   5  2.18 |   0     0 |   0   111M
61.3% 1190M  598M| 907  17.0     0   111M|   7  3.13 |   0     0 |   0   111M
63.9% 1190M  596M| 882  17.9     0   108M|   7  2.84 |   0     0 |   0   111M
67.9% 1190M  599M| 934  17.3     0   114M|   5  2.57 |   0     0 |   0   112M
66.8% 1190M  600M| 906  17.2     0   111M|   3  2.97 |   0     0 |   0   111M
63.5% 1190M  598M| 893  17.1     0   109M|   6  2.86 |   0     0 |   0   111M
67.6% 1190M  598M| 898  17.3     0   110M|   5  3.25 |   0     0 |   0   111M
61.8% 1190M  598M| 923  17.4     0   113M|   5  2.65 |   0     0 |   0   112M
66.3% 1190M  599M| 911  17.4     0   112M|   5  2.72 |   0     0 |   0   110M
64.0% 1190M  597M| 890  17.3     0   109M|   4  3.07 |   0     0 |   0   112M
61.1% 1190M  598M| 913  17.8     0   112M|   8  2.75 |   0     0 |   0   111M
65.4% 1190M  599M| 915  16.6     0   112M|   7  3.37 |   0     0 |   0   112M
64.3% 1190M  599M| 909  17.7     0   111M|   4  2.39 |   0     0 |   0   111M
66.7% 1190M  598M| 900  16.4     0   110M|   5  2.59 |   0     0 |   0   112M
66.5% 1190M  598M| 911  17.8     0   112M|   4  3.02 |   0     0 |   0   112M
60.4% 1190M  596M| 899  17.1     0   110M|   4  2.45 |   0     0 |   0   111M
61.6% 1190M  598M| 919  17.3     0   113M|   8  3.18 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
60.0% 1190M  599M| 916  17.6     0   112M|   5  2.49 |   0     0 |   0   110M
56.7% 1190M  596M| 878  17.1     0   108M|   3  1.79 |   0     0 |   0   112M
58.6% 1190M  597M| 911  17.5     0   112M|   7  3.09 |   0     0 |   0   111M
60.4% 1190M  599M| 919  17.1     0   113M|   7  2.57 |   0     0 |   0   111M
61.3% 1190M  597M| 893  17.5     0   110M|   5  2.61 |   0     0 |   0   111M
57.1% 1190M  598M| 907  17.3     0   111M|   4  2.17 |   0     0 |   0   111M
63.2% 1190M  595M| 892  17.5     0   109M|   2  0.96 |   0     0 |   0   111M
61.9% 1190M  599M| 933  17.6     0   115M|   8  3.17 |   0     0 |   0   111M
62.5% 1190M  599M| 904  17.1     0   111M|   6  2.44 |   0     0 |   0   111M
64.9% 1190M  599M| 915  17.2     0   112M|   4  2.94 |   0     0 |   0   112M
58.6% 1190M  600M| 913  17.3     0   112M|   5  2.49 |   0     0 |   0   111M
62.7% 1190M  598M| 895  17.9     0   110M|   4  2.43 |   0     0 |   0   111M
63.9% 1190M  596M| 885  17.1     0   108M|   8  3.22 |   0     0 |   0   111M
66.2% 1190M  600M| 931  17.1     0   114M|   6  2.82 |   0     0 |   0   111M
