------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
57.1% 1048M  599M| 900   163     0   110M|  13  2.44 |   0     0 |   0   111M
71.8% 1048M  596M| 889   133     0   109M|  22  3.16 |   0     0 |   0   111M
86.0% 1048M  598M| 937   140     0   115M|  53  3.16 |   0     0 |   0   111M
79.1% 1048M  600M| 894   149     0   110M|  41  3.07 |   0     0 |   0   111M
74.2% 1048M  598M| 901   127     0   111M|  12  3.38 |   0     0 |   0   111M
61.1% 1048M  598M| 891   155     0   109M|  18  2.76 |   0     0 |   0   111M
64.1% 1048M  596M| 894   132     0   110M|  25  2.88 |   0     0 |   0   111M
85.0% 1049M  598M| 938   145     0   115M|  49  3.19 |   0     0 |   0   111M
81.7% 1049M  600M| 922   147     0   113M|  36  3.19 |   0     0 |   0   112M
77.2% 1049M  596M| 869   143     0   107M|  20  3.60 |   0     0 |   0   111M
72.5% 1049M  599M| 924   130     0   113M|  21  3.05 |   0     0 |   0   111M
59.7% 1049M  594M| 892   143     0   109M|  21  2.86 |   0     0 |   0   111M
73.1% 1049M  598M| 922   138     0   113M|  38  2.87 |   0     0 |   0   112M
79.9% 1049M  599M| 927   138     0   114M|  37  3.03 |   0     0 |   0   111M
76.8% 1049M  595M| 860   148     0   105M|  21  3.39 |   0     0 |   0   111M
79.7% 1049M  599M| 946   142     0   116M|  21  3.36 |   0     0 |   0   112M
67.7% 1049M  594M| 862   137     0   105M|  25  3.01 |   0     0 |   0   111M
61.7% 1049M  598M| 939   147     0   116M|  36  2.58 |   0     0 |   0   112M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
76.4% 1050M  600M| 912   143     0   112M|  28  3.00 |   0     0 |   0   111M
79.2% 1050M  598M| 884   134     0   108M|  25  3.35 |   0     0 |   0   111M
79.4% 1050M  598M| 920   148     0   113M|  22  3.24 |   0     0 |   0   111M
77.8% 1050M  593M| 871   125     0   107M|  29  3.38 |   0     0 |   0   111M
65.4% 1050M  597M| 938   140     0   115M|  33  2.72 |   0     0 |   0   111M
