------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
52.4%  563M  299M| 904  0.86     0   111M|   3  2.56 |   0     0 |   0   111M
59.6%  563M  299M| 911  0.82     0   112M|   4  2.67 |   0     0 |   0   112M
55.2%  563M  299M| 902  0.31     0   111M|   3  2.26 |   0     0 |   0   111M
53.5%  563M  300M| 916  0.84     0   112M|   4  2.11 |   0     0 |   0   112M
49.4%  563M  299M| 900  0.86     0   110M|   4  2.01 |   0     0 |   0   112M
55.2%  563M  299M| 904  0.85     0   111M|   2  2.66 |   0     0 |   0   110M
50.8%  563M  299M| 905  0.85     0   111M|   4  2.30 |   0     0 |   0   111M
59.0%  563M  298M| 899  0.81     0   110M|   3  3.08 |   0     0 |   0   112M
49.0%  563M  299M| 908  0.85     0   111M|   4  2.38 |   0     0 |   0   111M
52.0%  563M  300M| 906  0.86     0   111M|   4  2.10 |   0     0 |   0   111M
49.1%  563M  299M| 907  0.86     0   111M|   2  2.21 |   0     0 |   0   112M
51.6%  564M  299M| 910  0.85     0   112M|   5  2.42 |   0     0 |   0   111M
55.6%  564M  300M| 899  0.84     0   111M|   3  2.82 |   0     0 |   0   110M
58.5%  564M  299M| 892  0.82     0   109M|   3  2.23 |   0     0 |   0   110M
52.7%  565M  299M| 910  0.85     0   112M|   4  2.41 |   0     0 |   0   112M
51.7%  565M  300M| 909  0.84     0   112M|   3  2.67 |   0     0 |   0   111M
51.9%  566M  300M| 904  0.85     0   111M|   4  2.29 |   0     0 |   0   111M
49.2%  566M  299M| 902  0.86     0   111M|   3  2.17 |   0     0 |   0   111M
55.4%  567M  300M| 911  0.82     0   112M|   3  2.29 |   0     0 |   0   111M
54.7%  567M  299M| 904  0.83     0   111M|   4  2.28 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
51.9%  568M  300M| 894  0.85     0   110M|   3  2.93 |   0     0 |   0   110M
51.7%  568M  299M| 907  0.85     0   111M|   5  2.12 |   0     0 |   0   111M
56.4%  570M  299M| 905  0.83     0   111M|   2  2.39 |   0     0 |   0   111M
50.9%  570M  299M| 898  0.85     0   110M|   4  2.51 |   0     0 |   0   111M
59.1%  571M  300M| 916  0.81     0   112M|   4  2.83 |   0     0 |   0   111M
49.5%  572M  299M| 905  0.85     0   111M|   2  2.35 |   0     0 |   0   112M
49.1%  572M  299M| 900  0.86     0   110M|   4  2.24 |   0     0 |   0   111M
52.0%  573M  299M| 911  0.85     0   112M|   3  2.73 |   0     0 |   0   111M
52.1%  574M  299M| 900  0.85     0   110M|   3  1.89 |   0     0 |   0   112M
58.6%  575M  300M| 922  0.80     0   113M|   4  2.55 |   0     0 |   0   112M
56.8%  576M  299M| 899  0.83     0   110M|   3  3.10 |   0     0 |   0   111M
53.7%  576M  299M| 914  0.84     0   112M|   4  2.26 |   0     0 |   0   112M
52.2%  577M  299M| 897  0.85     0   110M|   4  2.36 |   0     0 |   0   111M
50.7%  578M  299M| 907  0.85     0   111M|   3  1.98 |   0     0 |   0   112M
48.3%  578M  299M| 901  0.86     0   110M|   4  2.19 |   0     0 |   0   110M
59.2%  580M  298M| 905  0.83     0   111M|   3  3.03 |   0     0 |   0   111M
55.5%  585M  300M| 920  0.83     0   113M|   4  2.26 |   0     0 |   0   111M
59.3%  593M  300M| 899  0.83     0   110M|   2  2.65 |   0     0 |   0   111M
51.9%  594M  272M| 683  0.87     0    83M|   4  2.20 |   0     0 |   0   111M
57.2%  595M  299M|1115  0.29     0   137M|   4  2.44 |   0     0 |   0   110M
50.7%  596M  299M| 903  0.86     0   111M|   3  2.76 |   0     0 |   0   110M
58.3%  596M  300M| 916  0.81     0   112M|   3  1.83 |   0     0 |   0   112M
52.8%  597M  299M| 900  0.85     0   111M|   4  2.44 |   0     0 |   0   111M
50.0%  598M  298M| 897  0.85     0   110M|   4  2.23 |   0     0 |   0   111M
52.2%  598M  299M| 906  0.85     0   111M|   3  1.97 |   0     0 |   0   110M
51.4%  599M  299M| 905  0.83     0   111M|   3  2.50 |   0     0 |   0   111M
52.5%  600M  299M| 904  0.84     0   111M|   4  2.33 |   0     0 |   0   111M
55.8%  601M  299M| 901  0.82     0   111M|   3  2.83 |   0     0 |   0   111M
49.6%  601M  300M| 914  0.84     0   112M|   3  2.02 |   0     0 |   0   111M
51.8%  601M  299M| 912  0.84     0   112M|   4  2.64 |   0     0 |   0   112M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
54.8%  602M  300M| 902  0.83     0   110M|   3  2.88 |   0     0 |   0   111M
50.8%  603M  300M| 906  0.85     0   111M|   4  2.12 |   0     0 |   0   111M
58.3%  604M  299M| 896  0.82     0   110M|   3  2.53 |   0     0 |   0   111M
51.7%  605M  299M| 908  0.86     0   111M|   4  2.30 |   0     0 |   0   111M
54.3%  605M  298M| 904  0.84     0   111M|   4  2.41 |   0     0 |   0   112M
49.8%  606M  300M| 917  0.85     0   113M|   3  2.72 |   0     0 |   0   111M
50.3%  607M  299M| 906  0.87     0   111M|   3  1.54 |   0     0 |   0   111M
55.1%  608M  300M| 910  0.85     0   112M|   3  2.80 |   0     0 |   0   111M
57.3%  608M  299M| 907  0.82     0   111M|   4  2.48 |   0     0 |   0   112M
56.7%  609M  300M| 912  0.82     0   112M|   4  2.74 |   0     0 |   0   111M
49.5%  610M  299M| 897  0.84     0   110M|   2  2.04 |   0     0 |   0   111M
53.5%  611M  300M| 914  0.85     0   112M|   4  2.35 |   0     0 |   0   111M
50.8%  611M  299M| 903  0.85     0   111M|   4  2.55 |   0     0 |   0   112M
58.9%  613M  299M| 908  0.80     0   111M|   4  2.59 |   0     0 |   0   111M
55.4%  613M  299M| 910  0.85     0   112M|   3  1.94 |   0     0 |   0   112M
51.9%  614M  299M| 905  0.84     0   111M|   3  2.66 |   0     0 |   0   111M
49.1%  615M  298M| 900  0.88     0   110M|   4  2.04 |   0     0 |   0   112M
56.2%  616M  299M| 907  0.81     0   111M|   3  3.03 |   0     0 |   0   111M
51.6%  617M  299M| 918  0.85     0   113M|   3  1.77 |   0     0 |   0   112M
59.2%  618M  299M| 906  0.82     0   111M|   4  2.83 |   0     0 |   0   111M
53.7%  619M  299M| 911  0.83     0   112M|   3  2.96 |   0     0 |   0   112M
