---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
 0.0%  558M  256K    0 |   0     0     0     0 |   0     0     0     0     0 |   0     0 |   0     0     0     0     0     0     0     0 
92.2%  560M  299M    0 |3090  0.14     0   384M|   5  1.21     0     0     0 |   0     0 |   0     0     0    85M  340   218     0     0 
61.2%  561M  298M    0 | 907  0.96     0   111M|   3  3.17     2  4.17     0 |   0     0 |   0     0     0   112M  450   320     0     0 
54.0%  561M  299M    0 | 909  0.96     0   112M|   3  1.82     1  3.56     0 |   0     0 |   0     0     0   111M  446   322     0     0 
60.0%  562M  299M    0 | 909  0.96     0   112M|   3  2.83     2  3.71     0 |   0     0 |   0     0     0   112M  449   306     0     0 
48.0%  563M  300M    0 | 920  0.99     0   113M|   5  1.86     2  3.29     0 |   0     0 |   0     0     0   112M  448   315     0     0 
49.5%  564M  300M    0 | 912  0.98     0   112M|   3  1.67     1  2.99     0 |   0     0 |   0     0     0   112M  450   303     0     0 
60.1%  565M  299M    0 | 908  0.96     0   111M|   3  3.15     2  4.07     0 |   0     0 |   0     0     0   112M  448   364     0     0 
60.1%  566M  300M    0 | 913  0.96     0   113M|   4  2.60     2  4.28     0 |   0     0 |   0     0     0   112M  448   319     0     0 
31.1%  566M  302M    0 | 495  1.91     0    60M|   2  2.96     1  4.88     0 |   0     0 |   0     0     0    58M  232   374     0     0 
27.4%  568M  299M    0 | 477  2.00     0    58M|   4  2.22     2  3.56     0 |   0     0 |   0     0     0    62M  248  1023     0     0 
21.4%  568M  292M    0 | 405  2.38     0    46M|   3  1.81     3  2.72     0 |   0     0 |   0     0     0    53M  213   689     0     0 
24.6%  570M  300M    0 | 465  2.00     0    57M|   3  2.17     1  3.60     0 |   0     0 |   0     0     0    50M  200   707     0     0 
28.9%  570M  295M    0 | 435  2.18     0    52M|   2  1.01     0     0     0 |   0     0 |   0     0     0    56M  226   693     0     0 
24.0%  571M  300M    0 | 433  2.19     0    53M|   2  2.90     1  4.69     0 |   0     0 |   0     0     0    48M  193   739     0     0 
24.9%  572M  294M    0 | 379  2.51     0    45M|   3  2.05     1  4.10     0 |   0     0 |   0     0     0    52M  214   721     0     0 
26.1%  573M  300M    0 | 549  1.72     0    66M|   3  1.65     1  3.33     0 |   0     0 |   0     0     0    60M  238   662     0     0 
19.2%  574M  302M    0 | 398  2.44     0    48M|   1  0.93     0     0     0 |   0     0 |   0     0     0    46M  186   675     0     0 
31.0%  574M  301M    0 | 470  2.00     0    57M|   3  2.08     1  4.07     0 |   0     0 |   0     0     0    58M  232   704     0     0 
29.8%  575M  300M    0 | 471  1.98     0    57M|   2  2.71     1  4.09     0 |   0     0 |   0     0     0    58M  232   678     0     0 
23.5%  576M  300M    0 | 417  2.28     0    50M|   3  1.96     1  3.70     0 |   0     0 |   0     0     0    50M  200   720     0     0 
23.1%  577M  302M    0 | 374  2.54     0    45M|   4  1.79     1  3.79     0 |   0     0 |   0     0     0    42M  171   707     0     0 
22.4%  578M  301M    0 | 474  2.02     0    57M|   2  1.91     1  3.05     0 |   0     0 |   0     0     0    59M  237   731     0     0 
27.9%  579M  301M    0 | 482  1.94     0    58M|   3  2.04     3  3.80     0 |   0     0 |   0     0     0    58M  233   644     0     0 
24.9%  580M  302M    0 | 399  2.39     0    48M|   1  1.13     0     0     0 |   0     0 |   0     0     0    47M  189   703     0     0 
29.7%  581M  300M    0 | 458  2.05     0    55M|   3  2.27     1  4.53     0 |   0     0 |   0     0     0    57M  230   753     0     0 
22.3%  581M  302M    0 | 394  2.41     0    47M|   3  2.08     1  3.93     0 |   0     0 |   0     0     0    45M  183   706     0     0 
28.2%  582M  301M    0 | 491  1.90     0    59M|   2  2.32     1  3.68     0 |   0     0 |   0     0     0    60M  242   678     0     0 
18.0%  583M  302M    0 | 374  2.59     0    45M|   3  1.73     1  3.05     0 |   0     0 |   0     0     0    44M  178   697     0     0 
27.4%  584M  301M    0 | 487  1.92     0    59M|   1  1.04     0     0     0 |   0     0 |   0     0     0    59M  238   721     0     0 
---------usage--------- ----------fuse--------- -------------meta------------ -blockcache ---------------------object--------------------
 cpu   mem   buf  cache| ops   lat   read write| ops   lat   txn   lat  retry| read write| get  get_c  lat   put  put_c  lat  del_c  lat 
50.4%  587M  300M    0 | 563  1.65     0    68M|   4  2.68     2  4.18     0 |   0     0 |   0     0     0    70M  280   658     0     0 
20.3%  588M  297M    0 | 320  2.99     0    38M|   2  0.94     0     0     0 |   0     0 |   0     0     0    43M  174   692     0     0 
26.7%  588M  301M    0 | 470  2.00     0    57M|   3  2.12     1  3.56     0 |   0     0 |   0     0     0    51M  205   739     0     0 
31.0%  594M  300M    0 | 488  1.95     0    59M|   3  1.96     1  3.80     0 |   0     0 |   0     0     0    59M  239   673     0     0 
25.1%  596M  302M    0 | 401  2.37     0    48M|   2  2.81     1  4.55     0 |   0     0 |   0     0     0    46M  186   674     0     0 
33.7%  597M  301M    0 | 468  2.00     0    56M|   3  2.02     3  3.65     0 |   0     0 |   0     0     0    58M  232   689     0     0 
28.4%  598M  302M    0 | 396  2.41     0    47M|   2  1.25     0     0     0 |   0     0 |   0     0     0    46M  187   746     0     0 
30.5%  598M  301M    0 | 475  1.97     0    57M|   2  2.95     1  4.57     0 |   0     0 |   0     0     0    58M  234   686     0     0 
25.2%  598M  302M    0 | 404  2.36     0    48M|   3  2.15     1  4.56     0 |   0     0 |   0     0     0    47M  190   676     0     0 
23.3%  598M  301M    0 | 471  2.01     0    57M|   2  2.24     1  3.40     0 |   0     0 |   0     0     0    58M  235   758     0     0 
25.9%  598M  300M    0 | 457  2.09     0    55M|   3  1.99     1  3.68     0 |   0     0 |   0     0     0    56M  224   723     0     0 
26.1%  599M  301M    0 | 401  2.36     0    48M|   4  1.87     1  3.86     0 |   0     0 |   0     0     0    48M  192   657     0     0 
28.4%  599M  300M    0 | 467  2.02     0    56M|   1  1.02     0     0     0 |   0     0 |   0     0     0    57M  230   705     0     0 
21.9%  599M  302M    0 | 365  2.65     0    43M|   3  2.10     1  3.57     0 |   0     0 |   0     0     0    41M  166   721     0     0 
25.8%  599M  301M    0 | 494  1.90     0    60M|   2  2.55     1  4.06     0 |   0     0 |   0     0     0    61M  244   705     0     0 
24.5%  599M  301M    0 | 459  2.09     0    55M|   3  1.67     1  3.20     0 |   0     0 |   0     0     0    55M  223   665     0     0 
28.4%  600M  295M    0 | 417  2.26     0    50M|   3  2.24     1  4.28     0 |   0     0 |   0     0     0    57M  228   692     0     0 
