------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
75.1%  995M  600M| 935   152     0   115M|  18  3.36 |   0     0 |   0   111M
74.2%  999M  596M| 921   139     0   113M|  49  2.82 |   0     0 |   0   111M
69.0% 1001M  599M| 918   138     0   113M|  43  2.89 |   0     0 |   0   111M
67.7% 1004M  597M| 902   133     0   111M|  24  3.01 |   0     0 |   0   111M
74.0% 1005M  598M| 912   153     0   112M|  21  3.17 |   0     0 |   0   112M
70.2% 1006M  597M| 879   135     0   108M|  20  3.19 |   0     0 |   0   111M
67.5% 1008M  597M| 923   134     0   113M|  38  2.77 |   0     0 |   0   112M
72.5% 1010M  599M| 924   148     0   113M|  44  2.90 |   0     0 |   0   111M
66.2% 1012M  598M| 903   141     0   111M|  23  2.76 |   0     0 |   0   112M
70.6% 1014M  598M| 908   135     0   111M|  25  2.98 |   0     0 |   0   112M
69.0% 1015M  600M| 899   154     0   110M|  11  3.28 |   0     0 |   0   111M
72.1% 1018M  597M| 912   117     0   112M|  37  3.02 |   0     0 |   0   111M
71.9% 1021M  599M| 912   154     0   112M|  38  2.89 |   0     0 |   0   111M
68.5% 1022M  599M| 910   128     0   112M|  22  3.06 |   0     0 |   0   112M
66.0% 1024M  599M| 910   145     0   111M|  26  2.90 |   0     0 |   0   111M
74.8% 1026M  599M| 902   145     0   111M|  19  3.20 |   0     0 |   0   112M
72.7% 1029M  593M| 871   141     0   107M|  30  3.07 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
71.1% 1031M  598M| 957   141     0   117M|  36  2.97 |   0     0 |   0   112M
67.4% 1034M  600M| 904   141     0   111M|  23  2.88 |   0     0 |   0   111M
65.1% 1036M  595M| 877   147     0   108M|  26  2.89 |   0     0 |   0   112M
68.4% 1037M  600M| 942   122     0   115M|  24  2.84 |   0     0 |   0   110M
74.9% 1039M  600M| 909   149     0   112M|  33  3.12 |   0     0 |   0   112M
74.2% 1042M  597M| 872   158     0   107M|  28  3.14 |   0     0 |   0   111M
69.5% 1043M  599M| 931   136     0   114M|  24  3.01 |   0     0 |   0   112M
68.9% 1045M  596M| 892   125     0   109M|  23  2.89 |   0     0 |   0   111M
65.1% 1047M  595M| 897   158     0   110M|  26  2.97 |   0     0 |   0   111M
73.2% 1049M  599M| 936   142     0   115M|  21  3.10 |   0     0 |   0   111M
72.7% 1051M  593M| 842   129     0   103M|  40  3.05 |   0     0 |   0   111M
68.9% 1053M  600M| 959   143     0   118M|  17  2.81 |   0     0 |   0   111M
