------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
67.2%  981M  598M| 913  17.3     0   112M|   6  2.90 |   0     0 |   0   111M
59.6%  982M  599M| 914  17.5     0   112M|   4  2.84 |   0     0 |   0   111M
53.5%  983M  598M| 898  17.6     0   110M|   7  2.49 |   0     0 |   0   111M
67.5%  985M  598M| 903  16.8     0   111M|   7  3.09 |   0     0 |   0   110M
69.1%  985M  599M| 902  17.5     0   110M|   3  3.28 |   0     0 |   0   111M
71.0%  986M  598M| 914  17.1     0   112M|   6  3.01 |   0     0 |   0   112M
65.4%  987M  599M| 915  17.4     0   112M|   8  2.95 |   0     0 |   0   111M
58.2%  989M  599M| 903  17.4     0   111M|   3  2.27 |   0     0 |   0   111M
54.2%  989M  600M| 906  17.2     0   111M|   7  2.44 |   0     0 |   0   111M
66.8%  990M  594M| 862  17.4     0   106M|   2  2.77 |   0     0 |   0   112M
71.7%  992M  599M| 952  17.2     0   117M|   6  3.10 |   0     0 |   0   111M
68.7%  993M  599M| 910  17.1     0   112M|   7  3.47 |   0     0 |   0   111M
65.1%  994M  597M| 892  17.3     0   109M|   6  2.92 |   0     0 |   0   111M
55.5%  995M  598M| 915  17.4     0   112M|   4  1.93 |   0     0 |   0   112M
61.8%  996M  598M| 907  17.5     0   111M|   5  2.35 |   0     0 |   0   111M
68.0%  996M  594M| 867  17.2     0   106M|   5  3.43 |   0     0 |   0   110M
69.3%  997M  598M| 938  17.1     0   115M|   6  2.94 |   0     0 |   0   111M
65.0%  998M  599M| 910  17.2     0   112M|   6  3.18 |   0     0 |   0   111M
61.1%  999M  597M| 897  17.4     0   110M|   5  2.57 |   0     0 |   0   111M
54.4% 1000M  598M| 921  17.8     0   113M|   5  2.94 |   0     0 |   0   112M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
67.2% 1001M  598M| 902  17.2     0   111M|   6  3.12 |   0     0 |   0   111M
69.0% 1002M  598M| 908  16.8     0   111M|   3  3.09 |   0     0 |   0   111M
70.5% 1004M  599M| 914  17.4     0   112M|   6  3.22 |   0     0 |   0   111M
67.6% 1004M  597M| 901  17.0     0   110M|   8  2.99 |   0     0 |   0   112M
58.3% 1005M  597M| 904  18.1     0   111M|   4  3.00 |   0     0 |   0   111M
55.2% 1006M  595M| 889  16.8     0   109M|   4  2.23 |   0     0 |   0   111M
67.1% 1008M  593M| 894  18.4     0   110M|   4  3.08 |   0     0 |   0   111M
67.3% 1009M  594M| 916  16.8     0   112M|   8  2.74 |   0     0 |   0   111M
71.4% 1009M  596M| 916  16.6     0   112M|   9  3.13 |   0     0 |   0   111M
63.0% 1010M  589M| 855  18.8     0   105M|   3  2.92 |   0     0 |   0   111M
58.7% 1011M  600M| 990  16.1     0   122M|   4  2.27 |   0     0 |   0   111M
63.9% 1013M  598M| 893  17.1     0   110M|   6  2.99 |   0     0 |   0   111M
70.9% 1013M  599M| 923  17.3     0   113M|   5  3.00 |   0     0 |   0   112M
69.1% 1014M  599M| 907  17.4     0   111M|   6  3.03 |   0     0 |   0   111M
67.8% 1015M  597M| 892  17.0     0   110M|   4  3.41 |   0     0 |   0   111M
64.3% 1017M  599M| 921  17.3     0   113M|   5  2.55 |   0     0 |   0   111M
53.4% 1018M  596M| 884  17.3     0   108M|   5  2.58 |   0     0 |   0   112M
65.1% 1019M  599M| 927  17.3     0   114M|   8  2.72 |   0     0 |   0   112M
70.8% 1020M  600M| 925  17.5     0   113M|   6  3.04 |   0     0 |   0   112M
70.2% 1022M  600M| 896  17.1     0   110M|   4  3.32 |   0     0 |   0   110M
63.0% 1023M  594M| 853  17.6     0   104M|   4  2.28 |   0     0 |   0   110M
55.1% 1024M  598M| 937  17.5     0   115M|   4  2.72 |   0     0 |   0   111M
62.2% 1025M  598M| 910  17.0     0   112M|  10  2.98 |   0     0 |   0   112M
67.5% 1025M  597M| 888  17.4     0   109M|   2  1.18 |   0     0 |   0   111M
70.5% 1027M  599M| 932  17.4     0   114M|   5  3.42 |   0     0 |   0   112M
68.2% 1028M  596M| 880  17.7     0   109M|   4  2.68 |   0     0 |   0   111M
64.2% 1029M  598M| 926  16.8     0   113M|   4  2.98 |   0     0 |   0   111M
55.5% 1031M  600M| 917  17.5     0   112M|   8  2.37 |   0     0 |   0   112M
61.8% 1031M  595M| 875  17.1     0   107M|   8  2.85 |   0     0 |   0   112M
71.8% 1033M  600M| 944  17.3     0   116M|   4  3.39 |   0     0 |   0   111M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
71.2% 1035M  599M| 912  17.1     0   112M|   5  2.71 |   0     0 |   0   112M
67.3% 1036M  597M| 900  17.6     0   110M|   7  3.20 |   0     0 |   0   112M
60.9% 1037M  599M| 904  16.9     0   111M|   5  2.37 |   0     0 |   0   110M
51.0% 1040M  592M| 847  17.7     0   104M|   5  2.15 |   0     0 |   0   111M
68.9% 1040M  596M| 936  16.8     0   116M|   4  3.36 |   0     0 |   0   111M
91.5% 1043M  598M| 919  17.3     0   112M|   5  3.02 |   0     0 |   0   111M
67.8% 1043M  594M| 871  17.5     0   107M|   4  3.33 |   0     0 |   0   111M
64.0% 1043M  600M| 956  17.5     0   117M|   9  2.76 |   0     0 |   0   110M
53.5% 1043M  598M| 890  17.1     0   109M|   6  2.27 |   0     0 |   0   111M
58.2% 1044M  598M| 915  17.7     0   112M|   3  1.94 |   0     0 |   0   111M
70.1% 1044M  599M| 911  16.9     0   112M|   6  3.56 |   0     0 |   0   111M
68.4% 1044M  600M| 919  17.5     0   112M|   5  2.63 |   0     0 |   0   112M
66.5% 1044M  595M| 867  17.7     0   108M|   3  2.82 |   0     0 |   0   110M
60.4% 1044M  596M| 916  16.8     0   111M|   7  2.58 |   0     0 |   0   112M
52.9% 1044M  599M| 939  17.3     0   115M|   4  2.43 |   0     0 |   0   112M
66.5% 1044M  599M| 906  17.6     0   111M|   6  3.07 |   0     0 |   0   112M
68.2% 1044M  599M| 892  17.0     0   109M|   6  3.48 |   0     0 |   0   110M
66.4% 1044M  598M| 913  17.4     0   112M|   4  2.61 |   0     0 |   0   111M
63.9% 1044M  599M| 908  17.4     0   112M|   7  2.70 |   0     0 |   0   111M
54.5% 1044M  596M| 886  16.9     0   108M|   5  2.69 |   0     0 |   0   111M
56.9% 1045M  598M| 927  17.7     0   114M|   5  2.70 |   0     0 |   0   112M
69.5% 1045M  599M| 910  17.3     0   112M|   7  3.03 |   0     0 |   0   111M
67.2% 1045M  594M| 863  17.1     0   106M|   3  3.21 |   0     0 |   0   110M
68.9% 1045M  597M| 926  18.0     0   114M|   5  2.74 |   0     0 |   0   112M
65.2% 1045M  599M| 927  16.6     0   114M|   4  3.09 |   0     0 |   0   111M
52.2% 1045M  598M| 896  17.3     0   110M|   7  2.32 |   0     0 |   0   111M
58.2% 1045M  599M| 908  17.4     0   111M|   5  2.90 |   0     0 |   0   111M
64.9% 1045M  597M| 904  17.1     0   111M|   7  2.65 |   0     0 |   0   112M
69.9% 1045M  598M| 920  17.4     0   113M|   4  2.61 |   0     0 |   0   112M
69.2% 1045M  600M| 927  17.2     0   114M|   5  2.43 |   0     0 |   0   112M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
59.5% 1045M  598M| 891  16.8     0   109M|   6  2.94 |   0     0 |   0   111M
52.9% 1045M  598M| 915  17.6     0   112M|   6  2.35 |   0     0 |   0   111M
58.5% 1045M  600M| 922  17.3     0   113M|   7  5.07 |   0     0 |   0   112M
59.4% 1045M  598M| 888  17.0     0   109M|   5  2.97 |   0     0 |   0   110M
59.4% 1045M  597M| 902  18.2     0   110M|   5  2.40 |   0     0 |   0   112M
61.7% 1045M  597M| 904  16.8     0   111M|   2  2.46 |   0     0 |   0   111M
60.3% 1045M  598M| 908  17.4     0   112M|   7  3.07 |   0     0 |   0   111M
55.8% 1045M  600M| 917  17.5     0   112M|   5  2.87 |   0     0 |   0   111M
66.9% 1045M  600M| 905  17.5     0   111M|   8  3.22 |   0     0 |   0   110M
67.9% 1045M  596M| 876  16.9     0   107M|   3  3.38 |   0     0 |   0   112M
69.3% 1045M  599M| 938  17.5     0   115M|   5  2.84 |   0     0 |   0   112M
59.1% 1046M  597M| 895  16.9     0   110M|   6  2.83 |   0     0 |   0   112M
55.4% 1046M  599M| 915  17.4     0   112M|   8  2.62 |   0     0 |   0   111M
65.3% 1046M  598M| 909  17.1     0   111M|   5  2.80 |   0     0 |   0   112M
66.2% 1046M  598M| 900  18.0     0   110M|   2  2.80 |   0     0 |   0   111M
67.5% 1046M  597M| 894  16.7     0   110M|   5  2.84 |   0     0 |   0   110M
66.8% 1046M  598M| 904  17.6     0   111M|   5  3.62 |   0     0 |   0   110M
61.1% 1046M  598M| 911  17.6     0   112M|   9  2.61 |   0     0 |   0   112M
51.9% 1046M  599M| 913  17.2     0   112M|   6  2.16 |   0     0 |   0   110M
64.8% 1046M  600M| 910  17.1     0   112M|   2  1.12 |   0     0 |   0   111M
70.0% 1046M  598M| 898  17.0     0   110M|   7  3.51 |   0     0 |   0   111M
69.0% 1046M  597M| 901  17.0     0   110M|   4  2.66 |   0     0 |   0   112M
66.7% 1046M  598M| 916  17.3     0   112M|   9  3.43 |   0     0 |   0   111M
