------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
61.2%  531M  299M| 918  0.82     0   112M|   4  2.75 |   0     0 |   0   111M
62.3%  532M  299M| 918  0.80     0   110M|   4  1.88 |   0     0 |   0   111M
58.3%  533M  300M| 918  0.83     0   111M|   5  2.19 |   0     0 |   0   111M
46.1%  534M  268M| 663  0.85     0    80M|   4  2.18 |   0     0 |   0   111M
30.9%  535M  157M|  25  0.39     0     0 |   4  1.51 |   0     0 |   0   110M
38.7%  536M   45M|  25  0.36     0     0 |   7  2.39 |   0     0 |   0   111M
12.1%  537M  256K|  29  93.6     0     0 |   6  2.26 |   0     0 |   0    45M
73.6%  542M  768K| 513  5.96    60M    0 |   7  0.96 |   0     0 |  60M    0 
76.4%  543M  768K| 552  6.07    65M    0 |   6  1.04 |   0     0 |  65M    0 
68.2%  545M  768K| 581  5.87    69M    0 |   8  0.95 |   0     0 |  69M    0 
67.7%  548M  768K| 565  5.97    66M    0 |   7  0.86 |   0     0 |  67M    0 
75.7%  551M  768K| 563  5.97    67M    0 |   6  1.12 |   0     0 |  67M    0 
76.9%  553M  768K| 573  5.90    67M    0 |   6  1.10 |   0     0 |  67M    0 
77.5%  556M  768K| 560  5.96    66M    0 |   5  1.03 |   0     0 |  66M    0 
73.7%  558M  768K| 593  5.76    70M    0 |   6  0.91 |   0     0 |  70M    0 
66.8%  561M  768K| 588  5.81    69M    0 |   7  1.05 |   0     0 |  69M    0 
70.2%  563M  768K| 581  5.80    69M    0 |   5  1.08 |   0     0 |  69M    0 
77.6%  566M  768K| 582  5.83    69M    0 |   8  1.10 |   0     0 |  69M    0 
79.9%  569M  768K| 594  5.73    70M    0 |   6  1.06 |   0     0 |  70M    0 
77.6%  571M  768K| 584  5.82    69M    0 |   6  1.07 |   0     0 |  69M    0 
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
68.2%  573M  768K| 579  5.87    69M    0 |   5  0.96 |   0     0 |  69M    0 
69.8%  575M  768K| 573  5.91    68M    0 |   6  0.97 |   0     0 |  68M    0 
75.6%  577M  768K| 579  5.84    69M    0 |   8  1.03 |   0     0 |  69M    0 
81.0%  580M  768K| 580  5.85    69M    0 |   5  1.12 |   0     0 |  69M    0 
80.4%  583M  768K| 565  5.95    67M    0 |   6  1.11 |   0     0 |  67M    0 
76.3%  585M  768K| 571  5.94    68M    0 |   7  1.14 |   0     0 |  68M    0 
67.9%  587M  768K| 573  5.90    68M    0 |   5  0.94 |   0     0 |  68M    0 
75.5%  590M  768K| 571  5.92    67M    0 |   6  0.95 |   0     0 |  67M    0 
78.1%  592M  768K| 579  5.87    68M    0 |   6  1.09 |   0     0 |  68M    0 
78.6%  594M  768K| 587  5.83    69M    0 |   6  1.02 |   0     0 |  69M    0 
75.1%  597M  768K| 583  5.82    69M    0 |   5  0.99 |   0     0 |  69M    0 
69.9%  600M  768K| 594  5.73    70M    0 |   6  1.02 |   0     0 |  70M    0 
66.8%  603M  768K| 581  5.83    69M    0 |   6  0.90 |   0     0 |  69M    0 
76.0%  606M  768K| 578  5.85    68M    0 |   5  1.04 |   0     0 |  68M    0 
78.3%  607M  768K| 570  5.92    67M    0 |   6  1.12 |   0     0 |  67M    0 
77.5%  611M  768K| 586  5.78    69M    0 |   9  1.23 |   0     0 |  69M    0 
72.4%  613M  768K| 589  5.79    70M    0 |   5  1.02 |   0     0 |  70M    0 
68.4%  615M  768K| 568  5.96    67M    0 |   6  0.85 |   0     0 |  67M    0 
68.4%  618M  768K| 595  5.71    71M    0 |   6  0.92 |   0     0 |  71M    0 
76.5%  620M  768K| 593  5.75    70M    0 |   8  1.04 |   0     0 |  70M    0 
76.1%  623M  768K| 576  5.83    68M    0 |   5  1.14 |   0     0 |  68M    0 
76.1%  625M  768K| 577  5.87    68M    0 |   6  1.07 |   0     0 |  68M    0 
72.4%  627M  768K| 575  5.89    68M    0 |   6  0.97 |   0     0 |  68M    0 
69.2%  631M  768K| 574  5.93    68M    0 |   7  0.99 |   0     0 |  68M    0 
75.9%  633M  768K| 576  5.90    68M    0 |   8  1.00 |   0     0 |  68M    0 
78.9%  636M  768K| 568  5.97    67M    0 |   9  1.26 |   0     0 |  67M    0 
77.0%  638M  768K| 566  5.92    67M    0 |   5  1.10 |   0     0 |  67M    0 
75.8%  641M  768K| 577  5.87    68M    0 |   6  0.98 |   0     0 |  68M    0 
69.0%  643M  768K| 574  5.90    68M    0 |   6  0.94 |   0     0 |  68M    0 
67.8%  646M  768K| 580  5.86    69M    0 |   8  0.82 |   0     0 |  69M    0 
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
74.7%  648M  768K| 573  5.89    68M    0 |   5  1.00 |   0     0 |  68M    0 
78.0%  651M  640K| 574  5.90    68M    0 |   6  1.05 |   0     0 |  68M    0 
79.1%  653M  768K| 574  5.87    68M    0 |   6  1.06 |   0     0 |  68M    0 
70.1%  655M  768K| 581  5.86    69M    0 |   5  0.95 |   0     0 |  69M    0 
66.2%  658M  768K| 584  5.81    69M    0 |   6  0.86 |   0     0 |  69M    0 
78.3%  660M  768K| 566  5.99    67M    0 |   7  1.16 |   0     0 |  66M    0 
78.7%  663M  768K| 571  5.90    68M    0 |   5  1.05 |   0     0 |  68M    0 
83.9%  667M  768K| 560  6.01    66M    0 |   6  1.27 |   0     0 |  66M    0 
78.8%  669M  768K| 570  5.95    67M    0 |   6  1.08 |   0     0 |  67M    0 
72.9%  672M  768K| 569  5.98    67M    0 |   6  1.02 |   0     0 |  67M    0 
66.4%  674M  768K| 586  5.78    70M    0 |   5  1.01 |   0     0 |  70M    0 
75.5%  676M  768K| 578  5.84    68M    0 |   6  1.05 |   0     0 |  68M    0 
75.7%  679M  768K| 591  5.73    70M    0 |   6  1.05 |   0     0 |  70M    0 
79.1%  681M  768K| 572  5.89    68M    0 |   7  1.04 |   0     0 |  68M    0 
71.0%  684M  768K| 583  5.84    69M    0 |   6  0.91 |   0     0 |  69M    0 
69.3%  687M  768K| 562  6.03    66M    0 |   7  1.00 |   0     0 |  66M    0 
60.1%  688M  256K| 472  5.86    55M    0 |   3  1.03 |   0     0 |  55M    0 
 2.5%  690M  256K|  27  0.36     0     0 |   3  0.99 |   0     0 |   0     0 
35.1%  700M   32M| 494  0.19     0    55M|  15  0.97 |   0     0 |   0    22M
 106%  706M  222M|2457  0.13     0   301M|   5  1.54 |   0     0 |   0   112M
63.5%  708M  299M|1542  0.41     0   188M|   4  1.65 |   0     0 |   0   110M
58.9%  712M  300M| 940  0.85     0   112M|   6  1.67 |   0     0 |   0   111M
69.8%  715M  300M| 940  0.81     0   112M|   6  2.29 |   0     0 |   0   112M
73.6%  718M  299M| 934  0.79     0   112M|   5  1.88 |   0     0 |   0   112M
70.5%  720M  299M| 932  0.80     0   111M|   6  2.06 |   0     0 |   0   112M
60.1%  722M  300M| 940  0.83     0   112M|   6  2.14 |   0     0 |   0   111M
50.9%  723M  299M| 919  0.86     0   110M|   5  1.35 |   0     0 |   0   111M
52.9%  724M  300M| 946  0.84     0   113M|   6  1.70 |   0     0 |   0   112M
63.4%  726M  299M| 936  0.79     0   112M|   5  1.67 |   0     0 |   0   112M
65.8%  728M  300M| 936  0.80     0   112M|   7  2.36 |   0     0 |   0   112M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
60.2%  730M  298M| 924  0.82     0   111M|   4  1.78 |   0     0 |   0   112M
54.1%  732M  300M| 927  0.83     0   110M|   6  1.97 |   0     0 |   0   109M
50.8%  733M  300M| 939  0.85     0   111M|   6  1.58 |   0     0 |   0   112M
55.0%  735M  299M| 924  0.84     0   111M|   6  1.88 |   0     0 |   0   111M
61.7%  737M  300M| 939  0.79     0   112M|   5  1.69 |   0     0 |   0   112M
61.2%  739M  299M| 927  0.80     0   111M|   5  2.34 |   0     0 |   0   112M
60.2%  741M  299M| 938  0.81     0   112M|   7  1.99 |   0     0 |   0   111M
53.2%  743M  298M| 926  0.85     0   110M|   5  1.55 |   0     0 |   0   111M
49.0%  744M  300M| 946  0.84     0   113M|   6  1.68 |   0     0 |   0   112M
57.8%  747M  299M| 940  0.81     0   112M|   6  2.04 |   0     0 |   0   112M
87.6%  751M  298M| 928  0.79     0   111M|   5  2.34 |   0     0 |   0   112M
61.2%  751M  300M| 939  0.79     0   111M|   5  1.73 |   0     0 |   0   111M
56.7%  751M  300M| 938  0.81     0   112M|   6  1.99 |   0     0 |   0   112M
53.4%  755M  300M| 929  0.85     0   111M|   7  1.77 |   0     0 |   0   111M
58.9%  759M  300M| 929  0.83     0   111M|   5  2.02 |   0     0 |   0   111M
67.4%  760M  300M| 932  0.80     0   111M|   5  1.66 |   0     0 |   0   111M
60.7%  760M  299M| 922  0.81     0   110M|   7  2.04 |   0     0 |   0   111M
60.5%  760M  299M| 934  0.81     0   111M|   6  2.06 |   0     0 |   0   111M
55.9%  760M  300M| 931  0.83     0   111M|   5  1.94 |   0     0 |   0   111M
49.6%  760M  298M| 921  0.88     0   110M|   5  1.17 |   0     0 |   0   111M
60.2%  760M  299M| 937  0.80     0   112M|   6  1.98 |   0     0 |   0   111M
63.6%  760M  299M| 936  0.80     0   112M|   6  2.02 |   0     0 |   0   111M
59.2%  760M  277M| 752  0.79     0    89M|   5  2.37 |   0     0 |   0   111M
39.9%  760M  165M|  40  0.35     0     0 |   6  1.92 |   0     0 |   0   111M
34.4%  760M   54M|  40  0.35     0     0 |   5  1.32 |   0     0 |   0   112M
13.4%  760M  256K|  43  63.1     0     0 |   7  1.80 |   0     0 |   0    53M
 3.5%  760M  256K|  39  0.32     0     0 |   4  1.11 |   0     0 |   0     0 
 3.3%  760M  256K|  40  0.34     0     0 |   4  0.82 |   0     0 |   0     0 
 3.3%  760M  256K|  40  0.36     0     0 |   4  0.90 |   0     0 |   0     0 
 3.6%  760M  256K|  40  0.35     0     0 |   4  0.98 |   0     0 |   0     0 
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
