------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 241% 1752M   50M|1465  86.3    76M   74M| 822  1.68 |   0     0 |  89M   92M
 220% 1752M   54M|1443  88.6    80M   69M| 743  1.48 |   0     0 |  93M   79M
 223% 1753M   57M|1493  85.8    79M   76M| 775  1.48 |   0     0 |  90M   84M
 247% 1753M   51M|1403  91.0    78M   66M| 772  1.81 |   0     0 |  90M   84M
 277% 1753M   56M|1515  83.6    76M   80M| 783  2.01 |   0     0 |  88M   87M
 302% 1754M   54M|1551  82.2    78M   84M| 834  1.96 |   0     0 |  89M   97M
 216% 1754M   53M|1368  91.6    73M   69M| 721  1.57 |   0     0 |  86M   83M
 209% 1754M   53M|1420  92.8    75M   72M| 749  1.47 |   0     0 |  87M   85M
 248% 1754M   54M|1515  81.7    74M   82M| 793  1.76 |   0     0 |  84M   91M
 253% 1754M   50M|1452  87.9    75M   75M| 807  1.85 |   0     0 |  88M   93M
 256% 1754M   53M|1488  89.5    80M   74M| 765  1.78 |   0     0 |  92M   81M
 251% 1754M   53M|1459  86.6    79M   72M| 764  1.87 |   0     0 |  89M   84M
 220% 1754M   56M|1465  86.9    79M   71M| 754  1.45 |   0     0 |  91M   79M
 236% 1754M   50M|1560  79.2    76M   86M| 883  1.58 |   0     0 |  88M  104M
 232% 1754M   53M|1391  95.1    74M   72M| 698  1.74 |   0     0 |  85M   80M
 249% 1754M   55M|1468  85.0    78M   75M| 786  1.81 |   0     0 |  89M   85M
 272% 1754M   57M|1546  85.6    76M   86M| 813  1.97 |   0     0 |  88M   96M
 234% 1754M   58M|1418  87.9    73M   75M| 767  1.79 |   0     0 |  84M   86M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 214% 1754M   53M|1432  88.4    77M   72M| 787  1.58 |   0     0 |  89M   89M
 231% 1754M   58M|1482  82.9    80M   74M| 769  1.48 |   0     0 |  91M   80M
 236% 1754M   54M|1480  92.5    78M   75M| 816  1.65 |   0     0 |  89M   91M
 269% 1754M   51M|1532  81.7    78M   83M| 850  1.92 |   0     0 |  90M   98M
 260% 1754M   53M|1511  85.7    78M   81M| 781  1.89 |   0     0 |  90M   90M
 227% 1754M   49M|1384  87.9    71M   72M| 757  1.72 |   0     0 |  87M   93M
 198% 1754M   50M|1404  96.0    75M   69M| 734  1.38 |   0     0 |  88M   81M
 230% 1754M   53M|1404  89.5    77M   69M| 759  1.55 |   0     0 |  92M   82M
 259% 1754M   53M|1386  87.3    73M   70M| 730  1.80 |   0     0 |  87M   84M
 277% 1754M   47M|1433  93.8    75M   73M| 804  1.95 |   0     0 |  88M   91M
 277% 1754M   52M|1521  80.9    76M   83M| 779  1.93 |   0     0 |  88M   90M
 213% 1754M   54M|1420  92.8    77M   70M| 761  1.42 |   0     0 |  88M   80M
 219% 1754M   53M|1515  84.9    75M   84M| 809  1.53 |   0     0 |  88M   98M
 244% 1754M   55M|1414  86.8    78M   69M| 736  1.56 |   0     0 |  90M   78M
 294% 1755M   53M|1600  84.6    78M   89M| 884  2.02 |   0     0 |  91M  104M
 311% 1696M   56M|1368  87.9    71M   71M| 721  1.89 |   0     0 |  84M   81M
 250% 1696M   55M|1378  93.0    71M   72M| 737  1.85 |   0     0 |  86M   87M
 199% 1696M   54M|1397  95.8    68M   76M| 767  1.45 |   0     0 |  84M   94M
 225% 1696M   57M|1479  81.2    73M   81M| 775  1.58 |   0     0 |  88M   93M
 340% 1121M   57M|1478  92.1    77M   78M| 795  1.80 |   0     0 |  91M   92M
 312%  548M   49M|1425  87.8    77M   71M| 778  2.00 |   0     0 |  88M   90M
 253%  548M   49M|1409  89.0    76M   71M| 745  1.86 |   0     0 |  88M   84M
 247%  530M   55M|1388  90.7    79M   65M| 715  1.54 |   0     0 |  93M   74M
 195%  530M   50M|1393  95.0    74M   72M| 770  1.47 |   0     0 |  87M   90M
 221%  530M   53M|1474  89.2    76M   77M| 753  1.54 |   0     0 |  90M   89M
 264%  530M   53M|1493  86.9    82M   74M| 813  1.75 |   0     0 |  96M   89M
 280%  524M   55M|1449  81.4    75M   76M| 761  1.90 |   0     0 |  89M   89M
 250%  524M   54M|1461  82.4    75M   79M| 785  1.82 |   0     0 |  87M   92M
 206%  524M   53M|1359   102    73M   67M| 738  1.45 |   0     0 |  91M   86M
 211%  524M   52M|1436  88.9    78M   71M| 758  1.37 |   0     0 |  92M   86M
------usage------ ----------fuse--------- ----meta--- -blockcache ---object--
 cpu   mem   buf | ops   lat   read write| ops   lat | read write| get   put 
 254%  524M   51M|1354  93.0    73M   67M| 740  1.71 |   0     0 |  85M   80M
 260%  524M   54M|1488  87.6    80M   76M| 770  1.81 |   0     0 |  90M   83M
 270%  524M   53M|1514  83.5    80M   79M| 816  1.93 |   0     0 |  93M   94M
 251%  524M   51M|1433  90.4    75M   74M| 760  1.83 |   0     0 |  89M   90M
 227%  524M   52M|1361  94.7    80M   62M| 722  1.33 |   0     0 |  94M   75M
 218%  524M   55M|1454  84.0    74M   77M| 761  1.58 |   0     0 |  85M   84M
 218%  524M   55M|1450  92.1    78M   75M| 768  1.56 |   0     0 |  90M   88M
 246%  524M   53M|1435  84.7    74M   77M| 783  1.78 |   0     0 |  87M   91M
 278%  524M   54M|1385  94.1    78M   66M| 731  1.88 |   0     0 |  92M   80M
 226%  524M   54M|1444  89.1    74M   75M| 775  1.66 |   0     0 |  86M   86M
 196%  524M   52M|1389  92.5    74M   69M| 690  1.45 |   0     0 |  89M   82M
 131%  524M   12M| 461  85.0    22M    0 |  73  1.98 |   0     0 |  82M   71M
 130%  524M   12M|  57  0.29     0     0 |   5  0.67 |   0     0 |  78M   78M
97.9%  524M   14M|  57  0.31     0     0 |   5  0.86 |   0     0 |  78M   77M
 111%  524M   11M|  57  0.33     0     0 |   5  0.81 |   0     0 |  77M   79M
 200%  524M 8192K|  57  0.31     0     0 |   5  0.68 |   0     0 |  58M   60M
 118%  518M 8192K|  56  0.34     0     0 |   4  0.80 |   0     0 |   0     0 
 4.1%  518M 8192K|  57  0.28     0     0 |   5  0.82 |   0     0 |   0     0 
 7.3%  518M 8192K|  57  0.29     0     0 |   5  0.83 |   0     0 |   0     0 
 6.0%  518M 8192K|  57  0.30     0     0 |   5  0.90 |   0     0 |   0     0 
 4.5%  518M 8192K|  57  0.30     0     0 |   6  1.03 |   0     0 |   0     0 
