arm	tool	mode	test	actual_rc	expected_run	expected_pass	actual_pass	actual_fail	bad	log
B-candidate	go125	single	TestFullBlockDispatchedWhenSliceIDBecomesReady	0	1	1	1	0	0	0	logs/go125-B-candidate-U1-single.log
B-candidate	go125	single	TestPartialBlockNotDispatchedWhenSliceIDBecomesReady	0	1	1	1	0	0	0	logs/go125-B-candidate-U2-single.log
B-candidate	go125	single	TestFlushErrorRecordedWhenSliceIDBecomesReady	0	1	1	1	0	0	0	logs/go125-B-candidate-U3-single.log
B-candidate	go125	count100	TestFullBlockDispatchedWhenSliceIDBecomesReady\nTestPartialBlockNotDispatchedWhenSliceIDBecomesReady\nTestFlushErrorRecordedWhenSliceIDBecomesReady	0	100	100	0	0	0	logs/go125-B-candidate-count100.log
B-candidate	go125	race20	TestFullBlockDispatchedWhenSliceIDBecomesReady\nTestPartialBlockNotDispatchedWhenSliceIDBecomesReady\nTestFlushErrorRecordedWhenSliceIDBecomesReady	0	20	20	0	0	0	logs/go125-B-candidate-race20.log
B-candidate	go126	single	TestFullBlockDispatchedWhenSliceIDBecomesReady	0	1	1	1	0	0	0	logs/go126-B-candidate-U1-single.log
B-candidate	go126	single	TestPartialBlockNotDispatchedWhenSliceIDBecomesReady	0	1	1	1	0	0	0	logs/go126-B-candidate-U2-single.log
B-candidate	go126	single	TestFlushErrorRecordedWhenSliceIDBecomesReady	0	1	1	1	0	0	0	logs/go126-B-candidate-U3-single.log
B-candidate	go126	count100	TestFullBlockDispatchedWhenSliceIDBecomesReady\nTestPartialBlockNotDispatchedWhenSliceIDBecomesReady\nTestFlushErrorRecordedWhenSliceIDBecomesReady	0	100	100	0	0	0	logs/go126-B-candidate-count100.log
B-candidate	go126	race20	TestFullBlockDispatchedWhenSliceIDBecomesReady\nTestPartialBlockNotDispatchedWhenSliceIDBecomesReady\nTestFlushErrorRecordedWhenSliceIDBecomesReady	0	20	20	0	0	0	logs/go126-B-candidate-race20.log
