path	type	mode	uid	gid	size	mtime_ns	link_target
/home/lilingfeng/project/juicefs/hack/autocomplete/bash_autocomplete	dir	644	lilingfeng	lilingfeng	524	1781576081.9187262260	
/home/lilingfeng/project/juicefs/hack/autocomplete/zsh_autocomplete	dir	644	lilingfeng	lilingfeng	491	1781576081.9187262260	
/home/lilingfeng/project/juicefs/hack/winfsp_headers	dir	755	lilingfeng	lilingfeng	4096	1781576081.9187262260	
/home/lilingfeng/project/juicefs/hack/winfsp_headers/fuse_opt.h	dir	644	lilingfeng	lilingfeng	3848	1781576081.9187262260	
/home/lilingfeng/project/juicefs/hack/winfsp_headers/fuse.h	dir	644	lilingfeng	lilingfeng	9448	1781576081.9187262260	
/home/lilingfeng/project/juicefs/hack/winfsp_headers/fuse_common.h	dir	644	lilingfeng	lilingfeng	5581	1781576081.9187262260	
/home/lilingfeng/project/juicefs/hack/winfsp_headers/winfsp_fuse.h	dir	644	lilingfeng	lilingfeng	10942	1781576081.9187262260	
/home/lilingfeng/project/juicefs/codecov.yml	dir	644	lilingfeng	lilingfeng	77	1781576081.7427259270	
/home/lilingfeng/project/juicefs/package-lock.json	dir	644	lilingfeng	lilingfeng	579700	1782895654.7525095090	
/home/lilingfeng/project/juicefs/juicefs	dir	755	lilingfeng	lilingfeng	112306928	1786084486.6868990370	
/home/lilingfeng/project/juicefs/cmd	dir	755	lilingfeng	lilingfeng	4096	1782895654.7285091630	
/home/lilingfeng/project/juicefs/cmd/sync_test.go	dir	644	lilingfeng	lilingfeng	3931	1782895654.7285091630	
/home/lilingfeng/project/juicefs/cmd/debug.go	dir	644	lilingfeng	lilingfeng	17031	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/info_test.go	dir	644	lilingfeng	lilingfeng	1971	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/bench_test.go	dir	644	lilingfeng	lilingfeng	1125	1781576081.7387259230	
/home/lilingfeng/project/juicefs/cmd/gc.go	dir	644	lilingfeng	lilingfeng	11119	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/load.go	dir	644	lilingfeng	lilingfeng	8829	1782895654.7285091630	
/home/lilingfeng/project/juicefs/cmd/fsck_test.go	dir	644	lilingfeng	lilingfeng	1168	1782895654.7245091050	
/home/lilingfeng/project/juicefs/cmd/sync.go	dir	644	lilingfeng	lilingfeng	15290	1782895654.7285091630	
