arm	tool	mode	test	actual_rc	expected_run	expected_pass	actual_pass	actual_fail	bad	log
R-replay	go125	single	TestFullBlockDispatchedWhenSliceIDBecomesReady	0	1	1	1	0	0	0	logs/go125-R-replay-U1-single.log
R-replay	go125	single	TestPartialBlockNotDispatchedWhenSliceIDBecomesReady	0	1	1	1	0	0	0	logs/go125-R-replay-U2-single.log
R-replay	go125	single	TestFlushErrorRecordedWhenSliceIDBecomesReady	0	1	1	1	0	0	0	logs/go125-R-replay-U3-single.log
R-replay	go125	count20	TestFullBlockDispatchedWhenSliceIDBecomesReady\nTestPartialBlockNotDispatchedWhenSliceIDBecomesReady\nTestFlushErrorRecordedWhenSliceIDBecomesReady	0	20	20	0	0	0	logs/go125-R-replay-count20.log
R-replay	go126	single	TestFullBlockDispatchedWhenSliceIDBecomesReady	0	1	1	1	0	0	0	logs/go126-R-replay-U1-single.log
R-replay	go126	single	TestPartialBlockNotDispatchedWhenSliceIDBecomesReady	0	1	1	1	0	0	0	logs/go126-R-replay-U2-single.log
R-replay	go126	single	TestFlushErrorRecordedWhenSliceIDBecomesReady	0	1	1	1	0	0	0	logs/go126-R-replay-U3-single.log
R-replay	go126	count20	TestFullBlockDispatchedWhenSliceIDBecomesReady\nTestPartialBlockNotDispatchedWhenSliceIDBecomesReady\nTestFlushErrorRecordedWhenSliceIDBecomesReady	0	20	20	0	0	0	logs/go126-R-replay-count20.log
